trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
58f211a1-e92f-4815-79cb-a2a39c473072,KXARKCOACH-26-BPET,2025-11-30T03:17:48.682573Z,1470.00,0.0500,0.9500,yes
b1b6b4a3-9393-7b29-3839-642a1376316a,KXARKCOACH-26-BPET,2025-11-29T20:16:09.332075Z,8.00,0.0400,0.9600,yes
3ed9f318-eb20-5a8a-97e6-d3aa78add0d7,KXARKCOACH-26-BPET,2025-11-29T17:27:33.459218Z,700.00,0.0300,0.9700,no
acad5a57-ddde-6ee9-f6e6-494137a93521,KXARKCOACH-26-BPET,2025-11-29T06:21:23.694067Z,25.00,0.0400,0.9600,yes
a55014f0-4a55-46d8-becf-6d133f57104c,KXARKCOACH-26-BPET,2025-11-28T22:29:04.819502Z,46.00,0.0400,0.9600,yes
643784d2-860d-66d9-2a1e-bcfc7071ee61,KXARKCOACH-26-BPET,2025-11-28T21:54:38.745872Z,3.00,0.0100,0.9900,yes
79649c0e-d4e9-5a79-d32f-5986a1975829,KXARKCOACH-26-BPET,2025-11-28T18:19:02.772594Z,467.00,0.0100,0.9900,yes
c7b95fea-22cd-5711-6ab7-e06dc9bf63d9,KXARKCOACH-26-BPET,2025-11-28T17:19:12.430098Z,51.00,0.0100,0.9900,yes
fc572031-ee21-5329-8ec4-c056b84c2f55,KXARKCOACH-26-BPET,2025-11-28T16:33:29.403248Z,87.00,0.0100,0.9900,yes
8ed12130-ab45-7935-c3b2-58cb0477c9d1,KXARKCOACH-26-BPET,2025-11-28T15:30:57.612236Z,30.00,0.0100,0.9900,yes
a48b7079-d3f1-4fe1-e2d4-3b4222150f01,KXARKCOACH-26-BPET,2025-11-28T15:25:22.11449Z,467.00,0.0100,0.9900,yes
aabb20e4-4c90-4605-7303-958b1762387b,KXARKCOACH-26-BPET,2025-11-28T14:42:50.736328Z,2200.00,0.0100,0.9900,no
d2777b04-a010-6133-b125-49935f4f152f,KXARKCOACH-26-BPET,2025-11-28T12:41:34.433409Z,59.00,0.0700,0.9300,yes
c6e6fb39-2f68-6916-8921-5739d727091e,KXARKCOACH-26-BPET,2025-11-28T12:41:34.433409Z,41.00,0.0700,0.9300,yes
f1e9a3ad-e0fc-5576-49e4-12b49ecd67ca,KXARKCOACH-26-BPET,2025-11-27T13:40:34.572604Z,20.00,0.0700,0.9300,yes
9f143d96-7814-6c82-9092-c274d2485362,KXARKCOACH-26-BPET,2025-11-27T13:10:10.989271Z,39.00,0.0700,0.9300,yes
70d088fd-78b8-66a2-ab55-daaff79cc67c,KXARKCOACH-26-BPET,2025-11-27T13:10:10.989271Z,95.00,0.0700,0.9300,yes
f6f196e4-ff38-619e-8b71-bf8e8a9c3bec,KXARKCOACH-26-BPET,2025-11-27T03:01:24.329659Z,5.00,0.0700,0.9300,yes
3b6e730e-9273-705b-b415-f0940ead770f,KXARKCOACH-26-BPET,2025-11-27T02:51:39.842402Z,44.00,0.0200,0.9800,no
80591f3f-4c78-687f-66ce-2f1f038fc419,KXARKCOACH-26-BPET,2025-11-26T20:59:16.262395Z,20.00,0.0900,0.9100,yes
f60999a7-0906-5795-fca1-0150de14a028,KXARKCOACH-26-BPET,2025-11-26T20:17:13.804071Z,234.00,0.0800,0.9200,yes
c1fe7dd9-b2ac-6c9f-a85f-5298ded82513,KXARKCOACH-26-BPET,2025-11-26T20:06:23.482518Z,150.00,0.0500,0.9500,yes
8d28f1c2-469c-6176-f605-e5482c324d11,KXARKCOACH-26-BPET,2025-11-26T15:15:21.867856Z,800.00,0.0400,0.9600,yes
ce708217-fe6b-7fca-1e7d-bb1bcce5c376,KXARKCOACH-26-BPET,2025-11-26T04:44:17.417381Z,11.00,0.0300,0.9700,no
c124fc7f-6896-74a7-22ea-712010719c3b,KXARKCOACH-26-BPET,2025-11-26T01:08:41.237873Z,188.00,0.1000,0.9000,yes
5d5a3bb9-6781-4e60-e156-354ff241442d,KXARKCOACH-26-BPET,2025-11-26T01:03:17.15866Z,504.00,0.0800,0.9200,yes
