trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
e90adc07-5a83-753a-3ad3-3ef739a5a544,KXAUBCOACH-26-LKIF,2025-11-30T16:03:46.772159Z,28.00,0.0200,0.9800,yes
6733da13-2b0f-756c-28c0-dbba8644c1f8,KXAUBCOACH-26-LKIF,2025-11-30T16:03:46.772159Z,18.00,0.0200,0.9800,yes
03b754ec-9b86-676c-b447-2efde805a4fc,KXAUBCOACH-26-LKIF,2025-11-30T15:20:52.779272Z,2781.00,0.0100,0.9900,no
cbb0f2b3-4f93-78b0-f4d2-3ca5b889a5ac,KXAUBCOACH-26-LKIF,2025-11-30T13:43:43.87525Z,23.00,0.0200,0.9800,yes
9c4364ab-6f9e-4b20-67ec-9ae854ed1320,KXAUBCOACH-26-LKIF,2025-11-30T06:02:31.631278Z,469.00,0.0100,0.9900,no
9782258d-5d47-4438-912a-870dc6719f00,KXAUBCOACH-26-LKIF,2025-11-30T04:23:05.508953Z,46.00,0.0200,0.9800,yes
bda649b3-143f-5850-4a48-8150fbc243b4,KXAUBCOACH-26-LKIF,2025-11-30T03:48:37.463885Z,1.00,0.0200,0.9800,yes
62e8e879-8e77-7e87-d1c3-1d7fcfa1b67f,KXAUBCOACH-26-LKIF,2025-11-30T03:11:55.433277Z,12.00,0.0200,0.9800,no
856b0abd-1f8c-5f98-ef21-48b7ab4248d1,KXAUBCOACH-26-LKIF,2025-11-30T03:09:00.645156Z,12.00,0.0400,0.9600,yes
2a8e816b-e9b8-5000-ff32-cb949fac7aa4,KXAUBCOACH-26-LKIF,2025-11-30T03:09:00.645156Z,27.00,0.0500,0.9500,yes
f2f1be44-f79a-41e9-c6a9-e6179255c9a5,KXAUBCOACH-26-LKIF,2025-11-30T00:46:13.008909Z,8.00,0.0200,0.9800,no
50eaa0d8-84d7-4b8d-cfb3-1cf54786c5a6,KXAUBCOACH-26-LKIF,2025-11-30T00:32:26.378662Z,4.00,0.0200,0.9800,no
174de87d-2722-6a4d-acb2-6c8c45c6d800,KXAUBCOACH-26-LKIF,2025-11-30T00:13:33.915445Z,300.00,0.0800,0.9200,no
785a1f11-0eea-4519-3341-ee6d0d030939,KXAUBCOACH-26-LKIF,2025-11-29T22:22:03.590903Z,103.00,0.0900,0.9100,yes
00c977a5-2929-459c-2969-3ceafbdaf7cc,KXAUBCOACH-26-LKIF,2025-11-29T22:22:03.590903Z,1.00,0.0500,0.9500,yes
d5eb8347-b155-5028-5039-cb1aafc584aa,KXAUBCOACH-26-LKIF,2025-11-29T21:46:17.969951Z,1000.00,0.0400,0.9600,no
e5622313-95d2-6876-3693-e4606bd4c4ea,KXAUBCOACH-26-LKIF,2025-11-29T20:58:01.909289Z,438.00,0.1700,0.8300,yes
8412b1c4-c5ec-67c1-19f5-32e812c93304,KXAUBCOACH-26-LKIF,2025-11-29T20:58:01.909289Z,1000.00,0.1100,0.8900,yes
6d96be91-1460-6a2b-39ba-4c66040916ca,KXAUBCOACH-26-LKIF,2025-11-29T20:58:01.909289Z,3.00,0.1000,0.9000,yes
cf4a4712-63fa-4d81-5757-a42ac6faa492,KXAUBCOACH-26-LKIF,2025-11-29T19:18:49.952164Z,900.00,0.0500,0.9500,yes
438b0c86-73c8-4030-6714-584a182bfa91,KXAUBCOACH-26-LKIF,2025-11-29T19:18:49.952164Z,692.00,0.1900,0.8100,yes
39de8983-52df-4c39-422f-6d275df28169,KXAUBCOACH-26-LKIF,2025-11-29T19:18:49.952164Z,29.00,0.1700,0.8300,yes
16571da3-3077-43ac-69b9-2faf8cd4a13a,KXAUBCOACH-26-LKIF,2025-11-29T19:18:49.952164Z,41.00,0.1800,0.8200,yes
482864b1-1123-7a7c-a47c-462b2f6e0e43,KXAUBCOACH-26-LKIF,2025-11-29T12:42:55.339593Z,100.00,0.0500,0.9500,no
84c22b95-a348-5b31-2e21-9687583b92d8,KXAUBCOACH-26-LKIF,2025-11-29T05:04:27.815996Z,67.00,0.0700,0.9300,yes
feb7f45c-fc1c-5b82-8da5-dbae7b563d81,KXAUBCOACH-26-LKIF,2025-11-29T02:19:22.214236Z,413.00,0.0600,0.9400,yes
6fe66301-e435-5eb1-b126-07097aac5341,KXAUBCOACH-26-LKIF,2025-11-29T02:19:04.44381Z,295.00,0.0500,0.9500,yes
70f08446-6845-4c15-dd31-ef4f9361c251,KXAUBCOACH-26-LKIF,2025-11-29T02:17:39.931674Z,2000.00,0.0500,0.9500,yes
f6bde90b-7b9a-4fa1-f49c-6be129ea0e61,KXAUBCOACH-26-LKIF,2025-11-29T02:16:56.544651Z,2000.00,0.0400,0.9600,yes
