trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
23728dc5-0ee8-75cb-d06f-fadb14d0a3cd,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T04:58:51.539194Z,187.00,0.0100,0.9900,yes
754171db-d874-78f3-c73d-8969970074bd,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T04:56:19.771849Z,908.00,0.0100,0.9900,yes
0f1e1cbc-ec33-7cc1-fcd8-98e83273f4b9,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T04:56:19.771849Z,27.00,0.0100,0.9900,yes
b823ced0-9bab-6b59-ca2f-7c472d5a77fd,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T04:54:14.091341Z,93.00,0.0100,0.9900,yes
1a095831-e2ff-6189-829a-86eb74840db5,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T04:48:19.618675Z,280.00,0.0100,0.9900,yes
967709ad-9320-6cbd-2c9d-2abb01ab91b6,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T02:27:12.63714Z,23.00,0.0300,0.9700,yes
5725b509-e8f6-6702-0604-04dbfd5e847e,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T02:27:12.63714Z,8.00,0.0300,0.9700,yes
b10a5d0c-6f04-45ff-48f5-b33baba62817,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T02:10:07.359483Z,2.00,0.0200,0.9800,yes
9334f7b7-c693-4123-537a-ded32846340a,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T02:10:07.359483Z,14.00,0.0300,0.9700,yes
171b3c9a-11a2-4ede-55b1-c1a00022e1c2,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T02:10:07.359483Z,15.00,0.0300,0.9700,yes
78850a6c-5393-5f48-ffe2-2ecaab08c28f,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T01:51:48.578325Z,58.00,0.0300,0.9700,yes
18e0b71e-e91f-5ac9-ee1c-3a3342371a82,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T01:51:48.578325Z,5.00,0.0200,0.9800,yes
71370ea4-8273-40f4-fbcd-3274957eeb0b,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T01:45:25.741855Z,23.00,0.0300,0.9700,yes
453328df-b416-493e-f691-219f10f8ad59,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T01:45:25.741855Z,9.00,0.0200,0.9800,yes
13c55023-4bda-4f6b-ce5e-27740119e97a,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T01:45:25.741855Z,2.00,0.0200,0.9800,yes
c981b300-dc42-66a9-94c9-4924a12bff78,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T01:44:47.858624Z,25.00,0.0200,0.9800,yes
68a887f7-23e7-6a58-8a15-9f35895fd643,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T01:44:47.858624Z,14.00,0.0300,0.9700,yes
a9d38c11-bd67-4ab4-8c9a-dfed5126694f,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T01:21:57.994503Z,119.00,0.0300,0.9700,yes
a1cda00f-211d-4c53-89cb-90c97445618e,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T01:21:57.994503Z,55.00,0.0200,0.9800,yes
e7473991-9ae1-4ab7-37bf-c829543f8008,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T00:36:32.253276Z,233.00,0.0200,0.9800,yes
6ff0283b-aded-682b-9175-64e09fa23e0c,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T00:05:35.484442Z,25.00,0.0200,0.9800,yes
f818b817-b9dd-6950-4e7b-a37ae6dec1a7,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T00:04:43.652095Z,500.00,0.0200,0.9800,yes
d7112302-ac68-63c8-6ae7-51fe5493723e,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T00:04:43.652095Z,10.00,0.2500,0.7500,yes
d2705863-a473-6767-66ae-e6f6ca3d7aa0,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T00:04:43.652095Z,10.00,0.4700,0.5300,yes
6f23442c-0bdf-6a1f-631c-552ced7ba95b,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T00:04:43.652095Z,5.00,0.0300,0.9700,yes
1a8494e9-b49c-6b37-5467-ebc55be743e1,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-15T00:04:43.652095Z,3.00,0.4800,0.5200,yes
12476cdf-2f16-5ee9-71fb-98f7e29b8946,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-14T21:43:15.790648Z,467.00,0.0100,0.9900,yes
4bccef6b-482a-4e39-8448-e5e5d3d3c816,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-14T19:00:18.808396Z,10.00,0.0100,0.9900,yes
7e339894-d569-6319-13ba-b378bdc89463,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-14T18:53:58.972886Z,500.00,0.0100,0.9900,no
b79e377b-70f1-652a-4cae-336ef3384808,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-14T18:49:20.998768Z,5.00,0.0300,0.9700,yes
aee857e2-7c7e-6a56-4f23-886c66b259d8,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-14T18:49:20.998768Z,487.00,0.0200,0.9800,yes
4df648db-9bef-6d50-66cb-4c76d496d0b0,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-14T18:49:20.998768Z,5.00,0.4900,0.5100,yes
26416595-eb71-600e-50cc-f61d9a42975d,KXCHILEROUNDONESECOND-25NOV16-2ND-JJAR,2025-12-14T18:49:20.998768Z,13.00,0.0200,0.9800,yes
