trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
d2c390cd-0c67-4614-d019-de61cde0221c,KXCONNCOACH-26-CKEL,2025-12-06T22:35:59.305926Z,1.00,0.0100,0.9900,yes
b35ed9e8-93d5-57ca-19f4-9122da663041,KXCONNCOACH-26-CKEL,2025-12-06T13:45:45.53695Z,5.00,0.0100,0.9900,no
a7b720ac-5659-4c72-b0a2-f96604d38115,KXCONNCOACH-26-CKEL,2025-12-06T05:59:36.458032Z,4.00,0.0100,0.9900,no
f47260a9-e9e9-64ce-5e47-0ae3e596a275,KXCONNCOACH-26-CKEL,2025-12-06T05:41:12.368337Z,113.00,0.0100,0.9900,no
c20bc3d5-9e79-47f6-3837-adc34fd63c21,KXCONNCOACH-26-CKEL,2025-12-06T05:40:55.459227Z,10.00,0.0100,0.9900,no
df6caf3f-7d5d-417e-d47b-16412678c315,KXCONNCOACH-26-CKEL,2025-12-06T05:39:12.126272Z,62.00,0.0100,0.9900,no
ec916d74-7a15-5bc6-b0a1-0feed92881d5,KXCONNCOACH-26-CKEL,2025-12-06T05:12:35.597621Z,35.00,0.0100,0.9900,no
4f4dd259-5913-5194-984c-8038fec78f02,KXCONNCOACH-26-CKEL,2025-12-06T05:12:35.597621Z,5.00,0.0200,0.9800,no
46143514-6adb-6758-6661-caf370a978d1,KXCONNCOACH-26-CKEL,2025-12-05T18:50:06.798297Z,112.00,0.0500,0.9500,yes
a0c59a50-4055-7ceb-fc8e-7c8b760c2dbb,KXCONNCOACH-26-CKEL,2025-12-04T02:48:06.933855Z,351.00,0.0400,0.9600,yes
