trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
b9e75977-51b1-7b9d-428d-ab47c83daddb,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T16:58:07.721719Z,1.00,0.0100,0.9900,yes
4604ee40-95b1-6ca4-ef2f-dec4a4d661f0,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T07:40:56.775721Z,1.00,0.0100,0.9900,yes
e43d60e4-a8ce-7c6c-7ad2-cb5c07f1f15f,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T05:07:42.161109Z,8.00,0.0100,0.9900,yes
d37b3669-c1e0-75e1-4f8e-fe580b34df11,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T05:07:42.161109Z,24.00,0.0100,0.9900,yes
83a50433-40b8-7aa7-7978-682a83d2206a,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T05:07:42.161109Z,1.00,0.0100,0.9900,yes
6838e35f-120d-7788-48fd-1fc127cf7bcc,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T05:07:42.161109Z,70.00,0.0100,0.9900,yes
1d10e168-a562-798e-63d2-4873724349a2,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T05:07:42.161109Z,9.00,0.0100,0.9900,yes
ffa912c3-d89a-6a5a-26e9-8dfee8d63619,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T03:54:27.822285Z,13.00,0.0100,0.9900,yes
d52b76c7-17ee-6289-3adc-00eed7332f52,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T03:54:27.822285Z,16.00,0.0100,0.9900,yes
14b2c22d-e2be-6b7c-0df3-ba3157cb41af,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T03:54:27.822285Z,64.00,0.0100,0.9900,yes
d20ba9f0-efeb-5c29-5bdf-86f21fedc5e7,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T02:32:06.890718Z,83.00,0.0200,0.9800,no
cf915b42-2cc3-4ca2-8962-1ff82d61376b,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T02:30:16.345077Z,300.00,0.0200,0.9800,no
d22cd25d-8e5c-7fe5-8542-1bc9f89a6e60,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T02:28:40.256025Z,4.00,0.0100,0.9900,no
5811048c-c4fc-7295-510e-36211d406290,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T02:27:27.623188Z,13.00,0.0100,0.9900,no
b26603e6-72a3-4590-3609-decb61ba413d,KXELECTIONMOVABQ-25DEC09-P2,2025-12-10T02:00:07.293374Z,112.00,0.0500,0.9500,no
bd7eb603-6af1-7f9a-7a0e-0f74479a951e,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T20:59:10.133997Z,45.00,0.1000,0.9000,yes
52f115f0-89af-765b-4a0f-7b395450a463,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T20:59:10.133997Z,2.00,0.0900,0.9100,yes
ada611aa-1946-64f7-e85a-eaf457209e09,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T20:41:28.498677Z,1.00,0.1100,0.8900,no
063d939b-7525-671e-de6d-0917a118ddbc,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T20:41:28.498677Z,53.00,0.1000,0.9000,no
3e1f564d-6ef5-6685-98d9-b56fcfd2d8e3,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T20:10:06.851107Z,1.00,0.1100,0.8900,no
3b14792b-0225-4d3b-d52d-5d9677f2c306,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T20:09:04.326534Z,1.00,0.1100,0.8900,yes
6654310c-a0ab-7a15-59e5-a66840c39a17,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T20:04:44.430279Z,1.00,0.1100,0.8900,no
47b2ee70-f002-641c-5728-9fd25f748c87,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T19:23:57.24766Z,13.00,0.1400,0.8600,yes
aa8699bf-145d-5a1f-2959-c13ec8a64f1e,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T17:39:50.107892Z,13.00,0.1400,0.8600,yes
90bcbd08-1abe-5392-0931-c87291c3bd91,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T17:39:50.107892Z,71.00,0.1400,0.8600,yes
8cdb7a28-3314-52b5-157c-d6272c11a746,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T17:39:50.107892Z,2.00,0.1400,0.8600,yes
86c31e78-8b46-5097-105f-6d5c4cfe146f,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T17:39:50.107892Z,1.00,0.1400,0.8600,yes
5ce8f307-7f68-5727-02e3-06b3fa6b5578,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T17:39:50.107892Z,12.00,0.1300,0.8700,yes
c06ff26d-7ac6-777e-c21a-0868c4db1b92,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T17:04:24.838641Z,5.00,0.1100,0.8900,no
6f6802d1-c045-7986-f9c0-28de41742ba0,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T17:04:24.838641Z,245.00,0.1000,0.9000,no
61cb1d0e-7e8f-46e5-55a8-79dca171a9cc,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:56:53.989454Z,2.00,0.1100,0.8900,no
dbbe2807-1781-4a48-00e2-fa9f60481d41,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:47:31.292928Z,298.00,0.1500,0.8500,yes
ca217ae6-8b62-4706-19de-86a8f9daf659,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:47:31.292928Z,1.00,0.1400,0.8600,yes
6645efb5-2a03-4be2-2b8c-eb51e52613c6,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:47:31.292928Z,14.00,0.1400,0.8600,yes
47edfc54-065f-4b3b-0bbc-d6a60b44857f,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:47:31.292928Z,2.00,0.1400,0.8600,yes
ea209890-e86f-5702-9094-45e3ba854b2e,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:47:01.003059Z,3.00,0.1400,0.8600,yes
52a209d3-8538-5988-b751-12e48a12edbb,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:47:01.003059Z,18.00,0.1300,0.8700,yes
c4974b9e-3a67-7472-5133-9d0bf8fcb95c,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:46:06.849572Z,4.00,0.0900,0.9100,no
72cbf71f-03fb-652a-74b1-6a641546edc0,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:21:05.53942Z,12.00,0.0900,0.9100,no
1632d8be-6cef-5bd6-6a1b-640650dc8d24,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T16:18:30.519242Z,1.00,0.0900,0.9100,no
8c346ab2-dcb1-4028-dae2-2920e4048b04,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:45:52.468539Z,3.00,0.0800,0.9200,no
0a8effd9-7ad2-4040-cb9a-3e16ed87d791,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:45:52.468539Z,2.00,0.0800,0.9200,no
5bafba21-c89e-45fc-1b24-6e1576359d11,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:45:52.440933Z,13.00,0.0800,0.9200,no
5b3c4182-2575-4504-0ddd-73cb3bdec1a3,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:45:52.440933Z,1.00,0.0800,0.9200,no
1e2a49bd-23f4-405d-1352-7c44fce78c51,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:45:52.440933Z,1.00,0.0800,0.9200,no
aadbadee-0370-5530-cc9a-de438fa20462,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:44:09.8678Z,14.00,0.0900,0.9100,no
9bdab2e4-ec05-4bc9-cc63-deefce089ec4,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:38:03.18872Z,2.00,0.3000,0.7000,yes
5f17a61c-6e5d-4ee8-e1f3-b0d1b9982c08,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:38:03.18872Z,10.00,0.2900,0.7100,yes
c1c2425d-c358-436e-7ce0-926e1f04d542,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:37:26.140787Z,2.00,0.0800,0.9200,no
832bc8d1-d637-4832-4f4d-9d3542a02297,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:37:26.140787Z,1.00,0.0800,0.9200,no
12ac4328-6fca-474d-507d-96ee11976c80,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:37:26.140787Z,1.00,0.0800,0.9200,no
9ef24084-edba-7e4c-8499-fcefdacc4411,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:57.646504Z,2.00,0.0800,0.9200,no
aee45c17-6ee1-468e-a99c-00185583a849,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:39.599211Z,1.00,0.0800,0.9200,no
8c71ce3e-612e-4910-8211-894d0b8a2e35,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:39.599211Z,1.00,0.0800,0.9200,no
88bb1d33-8fed-4daf-d8cf-9ba11fa9791f,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:23.093486Z,2.00,0.0800,0.9200,no
574c5c9e-7d3f-4184-ccca-f069e79267db,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:23.093486Z,5.00,0.1000,0.9000,no
3495fa80-0d0c-41e6-e54d-d423df5ad2ee,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:23.093486Z,1.00,0.0800,0.9200,no
22e8ba17-6a17-417f-de94-7c2067cd4f2d,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:23.093486Z,2.00,0.0800,0.9200,no
092ebe2c-f4a5-4b76-cce6-7ce0e682ff55,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:23.093486Z,3.00,0.0800,0.9200,no
030091d4-7795-4649-f9b7-0ec1891d7625,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:23.093486Z,5.00,0.0800,0.9200,no
00e7cec1-8e13-41bf-c150-9ff4d70cafdf,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:30:23.093486Z,13.00,0.0900,0.9100,no
36514102-aa13-627f-9314-b96d8d878167,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:28:01.575665Z,11.00,0.0900,0.9100,no
074f51e9-87bb-495b-afaf-d04dedc0d6bf,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:26:02.476501Z,8.00,0.0900,0.9100,no
7ba47e11-9aaf-527b-a2fc-3cfeec8b1fa7,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:24:18.347677Z,21.00,0.0900,0.9100,no
d7c2345a-866b-606f-13e2-0eaebfff40af,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:19:59.017339Z,2.00,0.0900,0.9100,no
0c1675ac-d2f3-504b-3e6d-a554121df2df,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:12:31.241167Z,13.00,0.0900,0.9100,no
ca5033e5-5443-593f-0f4b-80e6cf34c543,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T15:06:09.053975Z,14.00,0.0900,0.9100,no
91193788-237f-419f-9838-1a4217374fcb,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T14:54:45.327271Z,6.00,0.0900,0.9100,no
d58c4282-3647-5d6f-b96d-54c76219f7bf,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T14:49:10.884551Z,7.00,0.0900,0.9100,no
14303a1c-8d0b-671b-4664-5f9f257be0e7,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T14:45:16.868423Z,12.00,0.0900,0.9100,no
eaa16bc6-7b63-63cf-277c-05559b1f5b0b,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T14:19:47.770224Z,23.00,0.0900,0.9100,no
c9c60ede-3358-765a-9f0d-bb247a76544e,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T14:18:11.848585Z,2.00,0.0800,0.9200,no
d14cc7bf-d452-48e2-6288-9113f4a94874,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T14:02:54.475333Z,3.00,0.0800,0.9200,no
7a0f7480-5b1a-4f3d-6fe7-2f9a4711f08b,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T14:02:54.475333Z,2.00,0.0800,0.9200,no
72ab6641-ebaf-4d80-4286-f4753546ac50,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T14:02:54.475333Z,6.00,0.0800,0.9200,no
fbdf8894-ebc5-771b-e410-a660d24a7a3a,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:52:11.320473Z,6.00,0.0800,0.9200,no
f184a32b-965b-75f0-d8b1-57809444719c,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:52:11.320473Z,1.00,0.0800,0.9200,no
acb77af9-d490-785a-f61f-aa1d15d07009,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:52:11.320473Z,1.00,0.0800,0.9200,no
bcba5e28-3bf8-4582-8ff1-689b3d452f35,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:20:07.50326Z,4.00,0.0800,0.9200,no
5fda1293-890e-61b8-f714-ea1b0453801b,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:18:13.526402Z,4.00,0.0800,0.9200,no
4e9169ef-0e40-6f16-ee99-a46f3683a991,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:18:13.526402Z,3.00,0.0800,0.9200,no
3ff7e8d7-ab28-6003-f663-4c678f560724,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:18:13.526402Z,2.00,0.0800,0.9200,no
d416d49e-d909-7245-cf0d-4437f8968f42,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:15:01.980434Z,3.00,0.0800,0.9200,no
9dbdc8b2-6846-72a8-ce77-7be057e35c53,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:15:01.980434Z,3.00,0.0800,0.9200,no
feefe2c5-77a0-6264-5325-6b76bc23fe80,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:13:36.83536Z,1.00,0.0800,0.9200,no
1ba471b7-0679-6829-4b3f-504105802206,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:13:36.83536Z,7.00,0.0800,0.9200,no
3b1b092c-e36d-5894-2627-47f89337bd03,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:08:23.562972Z,5.00,0.0800,0.9200,no
0c3c47f9-9f00-542b-384b-8e92e114b66e,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:08:23.562972Z,4.00,0.0800,0.9200,no
45cd4a31-71bd-592c-64c0-baf63229d0cf,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T13:06:31.742619Z,10.00,0.0800,0.9200,no
ee2a7d17-98d1-7d8d-fe52-ae2c414a9340,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T12:58:36.29619Z,2.00,0.1000,0.9000,no
0f9101d5-a474-7ae8-fd6b-5cd13758f136,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T12:58:36.29619Z,20.00,0.0900,0.9100,no
a135d1a6-e021-7fd3-0ca5-40a4c5a6afc7,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T12:50:25.832502Z,2.00,0.1000,0.9000,no
fd4132a4-4f41-510d-c226-f6585fd6231c,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T12:40:28.176811Z,2.00,0.1000,0.9000,no
1f0cba15-f39a-56d9-f1f4-cdcf5f9b8d45,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T12:40:28.176811Z,40.00,0.0900,0.9100,no
8c09f4ff-6279-47cb-9abd-915bdb66681c,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T12:28:37.339286Z,6.00,0.0900,0.9100,no
5872378b-0188-4e9d-89ff-5ea8737a48c0,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T12:28:37.339286Z,2.00,0.1000,0.9000,no
e9b2cc4a-8228-46b9-24d8-1b1bf42d0720,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T12:19:13.366333Z,7.00,0.1200,0.8800,no
6da50a02-4cff-4301-15d3-2fe38182dae4,KXELECTIONMOVABQ-25DEC09-P2,2025-12-09T12:19:13.366333Z,8.00,0.1100,0.8900,no
