trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
4f7abaae-0645-4bcd-bd42-6ec809af10ca,KXEPA-26DEC31-ASG,2024-11-12T21:12:31.966598Z,30.00,0.0400,0.9600,yes
1a478a8c-e566-4a31-8034-16e1cbd08479,KXEPA-26DEC31-ASG,2024-11-12T20:56:50.736793Z,117.00,0.0400,0.9600,yes
be1801f9-8cfc-405c-8915-9b655b4e4445,KXEPA-26DEC31-ASG,2024-11-11T22:18:44.8764Z,30.00,0.0200,0.9800,no
6842c280-857f-46c6-a7e3-40bfe230c096,KXEPA-26DEC31-ASG,2024-11-11T21:03:15.561889Z,40.00,0.0200,0.9800,no
96dc7122-fa8c-4518-92fb-251b4ddc7531,KXEPA-26DEC31-ASG,2024-11-11T20:17:53.556441Z,15.00,0.0100,0.9900,no
7c1d031c-b7f9-4d5e-b1e4-514d5f0293c5,KXEPA-26DEC31-ASG,2024-11-11T20:17:22.604964Z,55.00,0.1100,0.8900,no
ac502c76-ee9f-476b-a830-289b5ff4ee1a,KXEPA-26DEC31-ASG,2024-11-11T20:17:22.012588Z,55.00,0.1200,0.8800,yes
6346f650-5d2b-4577-a8cf-a99d79b5f6dd,KXEPA-26DEC31-ASG,2024-11-11T20:17:18.559291Z,100.00,0.1200,0.8800,no
b8c057b8-d0e3-4d64-ad09-5ebfc0ab3d8d,KXEPA-26DEC31-ASG,2024-11-11T20:17:14.790194Z,166.00,0.1300,0.8700,no
50655563-48ac-4415-96a6-b77c9c592cdc,KXEPA-26DEC31-ASG,2024-11-11T20:17:14.790194Z,35.00,0.1300,0.8700,no
b4ebecee-3a49-44ab-a25f-ce990ab45ba9,KXEPA-26DEC31-ASG,2024-11-11T19:36:13.780191Z,5.00,0.1800,0.8200,yes
6c525682-7a5a-43ce-92c1-28d7c67de66b,KXEPA-26DEC31-ASG,2024-11-11T18:24:20.026901Z,40.00,0.1700,0.8300,yes
6c6b90e0-9fcd-4aeb-a4e1-d394390820b6,KXEPA-26DEC31-ASG,2024-11-08T17:14:28.846109Z,5.00,0.2100,0.7900,yes
25c619dc-5671-42af-856f-f6e4eb021b31,KXEPA-26DEC31-ASG,2024-11-08T17:14:28.846109Z,38.00,0.2200,0.7800,yes
513dc115-280d-456e-a1e5-e045284c9781,KXEPA-26DEC31-ASG,2024-11-08T15:47:59.479014Z,43.00,0.2200,0.7800,yes
