trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
48a5b9b5-1a5c-59f3-60d5-4e26a0372793,KXILPRIMARY-09R26-RCLE,2026-03-18T01:16:26.411124Z,9.00,0.1000,0.9000,yes
514cf619-268c-73fa-f72b-035a2819432a,KXILPRIMARY-09R26-RCLE,2026-03-18T01:01:38.223823Z,5.00,0.0300,0.9700,no
054bb6f3-d0b9-76aa-fe7e-eb2ebc8a6ea8,KXILPRIMARY-09R26-RCLE,2026-03-18T01:01:38.223823Z,50.00,0.0200,0.9800,no
48b39652-01a3-702f-7458-62ddda7756cf,KXILPRIMARY-09R26-RCLE,2026-03-17T12:52:06.396308Z,15.00,0.0400,0.9600,no
87da397f-4352-4b49-fe4f-fe470915ae82,KXILPRIMARY-09R26-RCLE,2026-03-16T19:59:51.20066Z,12.00,0.1400,0.8600,no
43f2ed13-5d3a-6139-9fd5-30d1755c8842,KXILPRIMARY-09R26-RCLE,2026-03-16T19:39:36.081198Z,11.00,0.1400,0.8600,no
dc4616e1-6739-6d04-3135-dc3c80743414,KXILPRIMARY-09R26-RCLE,2026-03-15T06:17:25.888373Z,200.00,0.2000,0.8000,no
526d27f4-744b-65f9-0c31-928222f4a2ad,KXILPRIMARY-09R26-RCLE,2026-03-15T06:17:25.888373Z,100.00,0.2200,0.7800,no
49516a92-6ac8-6c3a-08b7-af007df51db8,KXILPRIMARY-09R26-RCLE,2026-03-15T06:17:25.888373Z,5.00,0.2400,0.7600,no
6d420831-2aef-6f29-d858-98aa13a7ecec,KXILPRIMARY-09R26-RCLE,2026-03-13T20:56:16.252828Z,36.00,0.2600,0.7400,yes
fe7fdb60-9565-6e14-8978-4722e86531c0,KXILPRIMARY-09R26-RCLE,2026-03-06T05:17:00.401513Z,4.00,0.3000,0.7000,yes
8ba52991-f0a4-658f-eb73-8e63287b4294,KXILPRIMARY-09R26-RCLE,2026-03-04T12:23:30.618452Z,50.00,0.3700,0.6300,no
1da3ef0c-65d2-71ed-1a7f-d5bf7ecd2236,KXILPRIMARY-09R26-RCLE,2026-03-04T12:23:21.424782Z,50.00,0.3700,0.6300,no
