trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
9a2cb1a9-5dd5-70ba-d51d-8d63d3565852,KXILPRIMARY-15D26-JTOD,2026-03-18T03:33:09.135224Z,35.00,0.9900,0.0100,yes
1fbb419e-e83c-502e-1667-d687fd099af0,KXILPRIMARY-15D26-JTOD,2026-03-18T03:31:30.748144Z,23.00,0.9800,0.0200,yes
e40312e8-2dfb-5d4d-6311-d47a76de4483,KXILPRIMARY-15D26-JTOD,2026-03-18T01:04:42.321922Z,126.00,0.5700,0.4300,yes
a7ddb4c2-9ab1-5c4b-6311-bc83663b8e4a,KXILPRIMARY-15D26-JTOD,2026-03-18T01:04:42.321922Z,45.00,0.9200,0.0800,yes
5bb436d2-0060-5f55-7a56-72dfadebbbbd,KXILPRIMARY-15D26-JTOD,2026-03-18T01:04:42.321922Z,22.00,0.9100,0.0900,yes
82b2250d-f63f-5491-ae6c-09d0a7b82dc3,KXILPRIMARY-15D26-JTOD,2026-03-18T01:03:32.663482Z,35.00,0.5700,0.4300,yes
701809e7-ccf4-50f5-d2b5-e136b036e3a6,KXILPRIMARY-15D26-JTOD,2026-03-18T01:01:06.066413Z,4.00,0.5500,0.4500,yes
3d3d72ce-d5d4-7fd5-c6d6-dbe5d8bd7836,KXILPRIMARY-15D26-JTOD,2026-03-18T00:58:16.706096Z,5.00,0.5500,0.4500,yes
9194cdab-c1f7-6245-2ee6-40c3bea0f10f,KXILPRIMARY-15D26-JTOD,2026-03-18T00:45:17.580677Z,30.00,0.5700,0.4300,yes
647fdbca-532f-6da3-1bc0-ff7e8fe15969,KXILPRIMARY-15D26-JTOD,2026-03-18T00:45:17.580677Z,4.00,0.5600,0.4400,yes
6d64182a-5efa-7420-018a-e0430bffd8da,KXILPRIMARY-15D26-JTOD,2026-03-18T00:43:20.501574Z,1.00,0.1200,0.8800,yes
272739a7-84cb-713d-07df-2d151a6fb403,KXILPRIMARY-15D26-JTOD,2026-03-18T00:43:20.501574Z,9.00,0.5700,0.4300,yes
cfb80eae-e8ba-5e24-7d95-bb2d516dfc8f,KXILPRIMARY-15D26-JTOD,2026-03-17T21:00:31.851532Z,64.00,0.1300,0.8700,yes
b2316fde-863e-546a-4cd2-2d71b9bfe225,KXILPRIMARY-15D26-JTOD,2026-03-17T21:00:31.851532Z,45.00,0.1300,0.8700,yes
1b430c86-51c3-54a1-78d6-db562a93e2c0,KXILPRIMARY-15D26-JTOD,2026-03-17T21:00:31.851532Z,36.00,0.1300,0.8700,yes
25879a89-f077-56b7-6212-b6a93deb97bc,KXILPRIMARY-15D26-JTOD,2026-03-17T19:24:57.456562Z,1.00,0.0500,0.9500,no
118e9fdf-120a-58a4-a73c-f7d39848f437,KXILPRIMARY-15D26-JTOD,2026-03-17T06:44:54.995989Z,36.00,0.1300,0.8700,yes
027464ca-297d-457e-b049-a45bce8bf0fa,KXILPRIMARY-15D26-JTOD,2026-03-16T17:36:18.639602Z,7.00,0.1200,0.8800,yes
7879d570-70e1-6c9f-a993-7cc87f55fd17,KXILPRIMARY-15D26-JTOD,2026-03-15T22:51:38.858614Z,85.00,0.1100,0.8900,yes
bae6f530-fb71-5465-dc7a-a55ffe8fe139,KXILPRIMARY-15D26-JTOD,2026-03-10T02:12:29.158946Z,350.00,0.3200,0.6800,no
a1da2f5f-dac6-54bc-c3e9-9faeffd99cb6,KXILPRIMARY-15D26-JTOD,2026-03-10T02:12:29.158946Z,50.00,0.3200,0.6800,no
98bd67ad-7667-5ee3-e914-ee14be6eaaed,KXILPRIMARY-15D26-JTOD,2026-03-10T02:12:29.158946Z,10.00,0.3400,0.6600,no
