trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
bd4a41c9-19db-4071-824a-bd2f35b958d9,KXISAMB-26DEC31-PD,2025-04-03T00:12:33.794488Z,1.00,0.0100,0.9900,no
b90dd32a-797f-4b4c-90ec-1ba4b1db0de6,KXISAMB-26DEC31-PD,2025-04-03T00:12:33.794488Z,55.00,0.0100,0.9900,no
6067bbb8-6c8a-4b07-bf07-fb893481c6c9,KXISAMB-26DEC31-PD,2025-04-03T00:12:33.794488Z,81.00,0.0100,0.9900,no
41b957a5-c587-4ef3-a77f-da543856ff89,KXISAMB-26DEC31-PD,2025-04-03T00:12:33.794488Z,179.00,0.0100,0.9900,no
b39cc4c6-dd90-4d78-a073-3495d642275b,KXISAMB-26DEC31-PD,2025-03-03T19:56:41.204729Z,100.00,0.0200,0.9800,yes
58a52dae-fefb-4d61-972e-0ad9bc913508,KXISAMB-26DEC31-PD,2025-03-03T19:56:41.204729Z,80.00,0.0500,0.9500,yes
8dec725b-e7a2-4945-ade6-475ee3dc7f3a,KXISAMB-26DEC31-PD,2025-02-25T23:26:12.531113Z,236.00,0.0100,0.9900,no
ed814e74-20d8-4c1c-bf0d-d659b2c27540,KXISAMB-26DEC31-PD,2025-02-13T17:28:20.635168Z,1.00,0.0100,0.9900,no
742fdedf-fd35-4dd9-97b8-5eb4d1a9dafa,KXISAMB-26DEC31-PD,2024-11-17T04:00:25.470827Z,1.00,0.0400,0.9600,yes
da200eca-40f5-4db6-ba79-390e754c6c85,KXISAMB-26DEC31-PD,2024-11-14T22:12:36.712667Z,49.00,0.0100,0.9900,no
efad80ed-3733-4d6f-aa71-f18e9207d336,KXISAMB-26DEC31-PD,2024-11-13T16:24:06.071065Z,152.00,0.0100,0.9900,no
ac91dacb-a52c-445a-ae28-04168d80f7ed,KXISAMB-26DEC31-PD,2024-11-12T19:18:21.606558Z,15.00,0.0100,0.9900,no
7931f03c-da76-4104-aafa-71f51c0bfebd,KXISAMB-26DEC31-PD,2024-11-12T19:00:46.348857Z,55.00,0.0500,0.9500,yes
663abb4e-9f98-4d0b-ba6d-45c21a12b0da,KXISAMB-26DEC31-PD,2024-11-12T19:00:30.179254Z,40.00,0.0100,0.9900,no
36974c94-aaa8-4c2e-9403-e9e2f2ca1df7,KXISAMB-26DEC31-PD,2024-11-12T19:00:30.179254Z,15.00,0.0100,0.9900,no
f7f1dd40-86fa-4912-a1ec-efff71af6299,KXISAMB-26DEC31-PD,2024-11-12T18:41:58.344819Z,18.00,0.0400,0.9600,no
5082fbb9-98c1-4401-9df1-e4aa2f28b6a5,KXISAMB-26DEC31-PD,2024-11-12T18:41:58.344819Z,582.00,0.0300,0.9700,no
0434a2a8-f7d8-466a-8f2c-cc7654845b2c,KXISAMB-26DEC31-PD,2024-11-12T18:41:58.344819Z,72.00,0.0300,0.9700,no
ecfdf52b-0af6-413b-80bc-130df66737a9,KXISAMB-26DEC31-PD,2024-11-12T16:47:27.612359Z,15.00,0.1900,0.8100,yes
56df372a-906e-4bec-acf9-1194ee8598fe,KXISAMB-26DEC31-PD,2024-11-12T16:47:27.612359Z,70.00,0.2000,0.8000,yes
7c341fce-9900-41b2-9897-5ec8f114f988,KXISAMB-26DEC31-PD,2024-11-12T14:52:09.557881Z,236.00,0.2000,0.8000,yes
83727bae-7258-47bd-8cc2-af722cbe15db,KXISAMB-26DEC31-PD,2024-11-12T03:32:33.070919Z,1.00,0.1600,0.8400,yes
472f0a2d-4fd2-4c18-bab5-4f07a1c82ecb,KXISAMB-26DEC31-PD,2024-11-12T03:32:33.070919Z,151.00,0.1800,0.8200,yes
8a5855a3-c808-4f81-a79b-0fbb9b5e038c,KXISAMB-26DEC31-PD,2024-11-11T14:19:42.612172Z,42.00,0.0700,0.9300,no
c43364f4-f382-4971-8a43-202b47a5bc0b,KXISAMB-26DEC31-PD,2024-11-11T03:39:57.644567Z,42.00,0.1800,0.8200,yes
b6353986-44d1-46dd-afba-e6a6c84cff91,KXISAMB-26DEC31-PD,2024-11-08T20:54:47.728133Z,49.00,0.1900,0.8100,yes
