trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
968706bb-d328-7a48-907c-38c21e4d2107,KXMEMCOACH-26-JMAC,2025-12-07T23:13:22.258604Z,24.00,0.0600,0.9400,yes
4570043e-cf90-54ed-6793-a698024d4e2b,KXMEMCOACH-26-JMAC,2025-12-06T15:33:04.193973Z,150.00,0.0500,0.9500,yes
9d0285c3-d901-7cd0-4349-5c22fcd1003b,KXMEMCOACH-26-JMAC,2025-12-06T14:28:42.070983Z,52.00,0.0200,0.9800,no
9854ae1b-5a97-7f94-b26e-480728a3e7d9,KXMEMCOACH-26-JMAC,2025-12-06T14:24:59.10559Z,46.00,0.0200,0.9800,no
992d2a76-05ed-7861-7097-7ecfd9a0e051,KXMEMCOACH-26-JMAC,2025-12-06T13:06:28.207012Z,16.00,0.3500,0.6500,yes
7442a67a-3432-7c71-781e-53c24e5a4f3d,KXMEMCOACH-26-JMAC,2025-12-06T13:06:28.207012Z,13.00,0.3600,0.6400,yes
fbb67b92-4c62-5b41-3419-2481bd9b5ae9,KXMEMCOACH-26-JMAC,2025-12-06T11:49:33.825325Z,26.00,0.3600,0.6400,yes
ccf49eda-15bd-6fd5-5612-182ba7277185,KXMEMCOACH-26-JMAC,2025-12-06T11:09:05.48574Z,10.00,0.3500,0.6500,yes
8513e6d9-b82e-6bad-7d64-a04431458605,KXMEMCOACH-26-JMAC,2025-12-06T11:09:05.48574Z,77.00,0.3600,0.6400,yes
b63b0b9e-b41f-560c-f822-ffaa72e18db6,KXMEMCOACH-26-JMAC,2025-12-06T07:42:47.414869Z,10.00,0.0400,0.9600,no
75575661-4582-58bd-efac-f157a79d5679,KXMEMCOACH-26-JMAC,2025-12-06T07:42:47.414869Z,10.00,0.0300,0.9700,no
d23214a3-efc4-716a-2de5-d8d837000d4a,KXMEMCOACH-26-JMAC,2025-12-06T07:01:20.305609Z,8.00,0.1000,0.9000,no
b0fb13a1-09a2-7bae-ddc7-9d8c8030b446,KXMEMCOACH-26-JMAC,2025-12-06T06:26:38.518315Z,8.00,0.5900,0.4100,no
a9a2fd9d-5420-7696-c3ed-6a02015c4dc5,KXMEMCOACH-26-JMAC,2025-12-06T06:26:38.518315Z,500.00,0.2000,0.8000,no
20a2801c-cd20-7892-d3b5-9d561af6595a,KXMEMCOACH-26-JMAC,2025-12-06T06:26:38.518315Z,5.00,0.5000,0.5000,no
1a907ef4-0d5a-71e8-d010-71afa29a7275,KXMEMCOACH-26-JMAC,2025-12-06T06:26:38.518315Z,8.00,0.5900,0.4100,no
7697f4ca-6943-6270-f319-8caf9e16ed72,KXMEMCOACH-26-JMAC,2025-12-06T05:54:05.77939Z,1000.00,0.5600,0.4400,no
6960626d-9c7b-4368-7119-b9dbbff9ca6e,KXMEMCOACH-26-JMAC,2025-12-06T05:53:20.029878Z,10.00,0.5700,0.4300,no
1f669d04-51cb-44d9-7bb5-2c07b5b64fbc,KXMEMCOACH-26-JMAC,2025-12-06T05:53:20.029878Z,10.00,0.5700,0.4300,no
006c20e6-5668-6ddc-b702-5ebc1d86b2d9,KXMEMCOACH-26-JMAC,2025-12-06T05:40:13.447913Z,4.00,0.5800,0.4200,no
e77404be-de2f-6342-e8d5-8694ce52cad7,KXMEMCOACH-26-JMAC,2025-12-06T05:25:38.060479Z,10.00,0.6400,0.3600,yes
5c4bff8a-3f27-6770-d63d-b9b2d1c970c6,KXMEMCOACH-26-JMAC,2025-12-06T05:25:38.060479Z,10.00,0.6400,0.3600,yes
064f821b-9d1f-6cad-ecc6-504b96aa0902,KXMEMCOACH-26-JMAC,2025-12-06T05:25:38.060479Z,205.00,0.6500,0.3500,yes
8817e247-3783-6ada-0860-afac6b4450ed,KXMEMCOACH-26-JMAC,2025-12-06T05:15:58.22709Z,1000.00,0.6000,0.4000,no
b527b29c-c738-44c4-3bc9-830eb9e2b7ac,KXMEMCOACH-26-JMAC,2025-12-06T04:49:57.213971Z,225.00,0.5500,0.4500,no
958d22c0-4a14-408b-18c7-15a444eaaa57,KXMEMCOACH-26-JMAC,2025-12-06T04:49:57.213971Z,10.00,0.5600,0.4400,no
8c899a9e-e6bb-4d2c-0a48-f757494160f3,KXMEMCOACH-26-JMAC,2025-12-06T04:49:57.213971Z,10.00,0.5600,0.4400,no
129424c5-e053-7351-c679-4ba439fd9bfc,KXMEMCOACH-26-JMAC,2025-12-06T04:10:44.592136Z,1.00,0.6000,0.4000,yes
4b87b5c1-83c1-68fd-bf76-f8253a67ba2c,KXMEMCOACH-26-JMAC,2025-12-06T04:03:13.632582Z,245.00,0.5900,0.4100,yes
f4aa97bc-b0b3-641d-9489-3263d1bfd634,KXMEMCOACH-26-JMAC,2025-12-06T03:49:54.775243Z,5.00,0.5300,0.4700,yes
8a9168a6-8264-6c7e-9d60-cde21dd75435,KXMEMCOACH-26-JMAC,2025-12-06T03:49:54.775243Z,494.00,0.5400,0.4600,yes
2a6449ca-d3aa-6dc1-a088-54d2005ae20c,KXMEMCOACH-26-JMAC,2025-12-06T03:49:54.775243Z,5.00,0.5400,0.4600,yes
e0bca19f-d608-6196-5045-88d3aa2512fd,KXMEMCOACH-26-JMAC,2025-12-06T03:23:29.132232Z,4.00,0.5400,0.4600,yes
9c3419a9-e879-6286-49fd-d7ce73d1e435,KXMEMCOACH-26-JMAC,2025-12-06T03:23:29.132232Z,5.00,0.5300,0.4700,yes
5d241708-5ff0-69da-20c1-90c931dd5a95,KXMEMCOACH-26-JMAC,2025-12-06T03:21:23.059615Z,2.00,0.5400,0.4600,yes
4cda31f3-474f-71ba-45fd-cb54a3247c74,KXMEMCOACH-26-JMAC,2025-12-06T02:36:12.231531Z,80.00,0.4200,0.5800,no
359808f7-8963-709d-7372-175c6d7526de,KXMEMCOACH-26-JMAC,2025-12-06T02:36:12.231531Z,5.00,0.4300,0.5700,no
88352b7f-ab61-71f2-ccf3-e2a6083143fb,KXMEMCOACH-26-JMAC,2025-12-06T02:26:49.74681Z,100.00,0.4200,0.5800,yes
792487d0-eecd-77c5-de9b-3e708b0d1c1e,KXMEMCOACH-26-JMAC,2025-12-06T02:26:49.74681Z,21.00,0.4200,0.5800,yes
a7951f3a-fa41-4a59-784d-134092c151d6,KXMEMCOACH-26-JMAC,2025-12-06T02:09:18.755879Z,479.00,0.4200,0.5800,yes
55d1a3a6-3821-466e-7997-4956158a798c,KXMEMCOACH-26-JMAC,2025-12-06T02:09:18.755879Z,24.00,0.4100,0.5900,yes
5aefd35e-ae1e-73bf-d4ef-56d6158f6d7c,KXMEMCOACH-26-JMAC,2025-12-06T02:06:18.343026Z,2.00,0.4900,0.5100,yes
0a2a09e8-50c4-6210-f130-4f7c06c120d1,KXMEMCOACH-26-JMAC,2025-12-06T02:03:11.076723Z,2127.00,0.4500,0.5500,yes
5aad43c5-3ec6-7d11-7bca-e5660eff3666,KXMEMCOACH-26-JMAC,2025-12-05T23:17:41.647652Z,209.00,0.4600,0.5400,yes
464b95cb-b11e-6061-2945-f6fd22ab3d1a,KXMEMCOACH-26-JMAC,2025-12-05T23:16:08.13473Z,209.00,0.4600,0.5400,yes
cd22e605-9ea4-79e4-3401-5e1d0bd2adfc,KXMEMCOACH-26-JMAC,2025-12-05T22:58:24.527191Z,234.00,0.4100,0.5900,yes
31fc4a9b-089a-7204-affc-90248eb6e206,KXMEMCOACH-26-JMAC,2025-12-05T22:34:11.364956Z,252.00,0.3800,0.6200,yes
947ff0b0-605e-6967-d77e-dd88a3db54b4,KXMEMCOACH-26-JMAC,2025-12-05T22:33:06.525419Z,252.00,0.3800,0.6200,yes
5fb8bf26-595a-577f-fa05-0c404cbcd7fc,KXMEMCOACH-26-JMAC,2025-12-05T22:22:12.210842Z,10.00,0.3800,0.6200,yes
8ec854c4-f18f-779f-fdf5-4aaa262ebb8a,KXMEMCOACH-26-JMAC,2025-12-05T18:46:44.365037Z,79.00,0.2900,0.7100,yes
