trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
8d5a388e-9d44-5cc0-a822-d1c345cb0297,KXMICHCOACH-26-TREE,2025-12-26T23:10:33.712691Z,93.00,0.0100,0.9900,yes
94a7df6c-19ec-6b30-7f69-f011193964af,KXMICHCOACH-26-TREE,2025-12-26T14:42:49.334594Z,93.00,0.0100,0.9900,yes
857d6c76-a624-570c-9385-1eda89eee06b,KXMICHCOACH-26-TREE,2025-12-26T04:16:48.103778Z,187.00,0.0100,0.9900,yes
6d30f39b-5fd4-4128-44e9-b2e46ca44e87,KXMICHCOACH-26-TREE,2025-12-26T03:53:00.103813Z,245.00,0.0100,0.9900,yes
729420d9-1860-43a4-fba4-2672c10a7f6b,KXMICHCOACH-26-TREE,2025-12-24T23:41:45.921733Z,66.00,0.0100,0.9900,yes
5feaa185-fd0b-4c3e-ca82-f42ab3f322b9,KXMICHCOACH-26-TREE,2025-12-24T23:41:45.921733Z,1500.00,0.0100,0.9900,yes
4e5c15ab-9f84-4513-f15b-eb71b34b723e,KXMICHCOACH-26-TREE,2025-12-24T23:41:45.921733Z,100.00,0.0100,0.9900,yes
e29f0417-c3c1-7ca6-4e7d-38eaa6ac0804,KXMICHCOACH-26-TREE,2025-12-24T01:34:27.472724Z,190.00,0.0100,0.9900,yes
647676b3-5190-7011-6930-e56f7348f09f,KXMICHCOACH-26-TREE,2025-12-24T01:34:27.472724Z,493.00,0.0100,0.9900,yes
5c174e5d-4a45-7968-4aaa-d53154607089,KXMICHCOACH-26-TREE,2025-12-24T01:34:27.472724Z,567.00,0.0100,0.9900,yes
6c20bc8f-4e4c-5d8d-bf66-8c13e0a816df,KXMICHCOACH-26-TREE,2025-12-24T01:22:02.409469Z,5.00,0.0100,0.9900,yes
e30002cc-e249-7bd4-2e8c-d702fb5c5745,KXMICHCOACH-26-TREE,2025-12-23T19:08:06.07558Z,4702.00,0.0100,0.9900,no
7ad6ae02-0585-7a8c-844e-b6d2763a6729,KXMICHCOACH-26-TREE,2025-12-23T19:07:42.809547Z,4800.00,0.0100,0.9900,no
eddce8b8-8aa4-7bb7-bd56-39d823e262c3,KXMICHCOACH-26-TREE,2025-12-23T17:58:03.799206Z,3366.00,0.0100,0.9900,no
deb36943-9931-7c2c-991f-99ca9d53da8d,KXMICHCOACH-26-TREE,2025-12-23T17:58:03.799206Z,498.00,0.0100,0.9900,no
bcd53c2f-3f68-79c2-b214-dcd8b4f24c48,KXMICHCOACH-26-TREE,2025-12-23T17:58:03.799206Z,300.00,0.0100,0.9900,no
eeec4633-f7a4-7077-df5e-83c391f8a303,KXMICHCOACH-26-TREE,2025-12-23T15:03:31.69137Z,458.00,0.0100,0.9900,no
86fb5d24-fce8-4ef7-3d04-4d0f7dcb6197,KXMICHCOACH-26-TREE,2025-12-23T13:58:09.010719Z,1921.00,0.0100,0.9900,no
df897379-9b12-6bc0-6f04-2e0b1ad4a6c6,KXMICHCOACH-26-TREE,2025-12-23T13:01:05.400273Z,1480.00,0.0200,0.9800,yes
d4902c5f-5684-64bc-7df6-c964a8211740,KXMICHCOACH-26-TREE,2025-12-23T13:01:05.400273Z,1433.00,0.0200,0.9800,yes
ba0d4701-fe04-6afe-7046-573c47b436ab,KXMICHCOACH-26-TREE,2025-12-23T13:01:05.400273Z,51.00,0.0200,0.9800,yes
