trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
2f18707e-580e-4ce1-06aa-8fc63f627773,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-16T18:30:14.613009Z,11.00,0.0100,0.9900,yes
9e00c410-e706-5465-9727-aa26ffbf993f,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-07T03:23:21.029807Z,146.00,0.0100,0.9900,yes
67285250-44f8-51d5-b43c-aa2bc75bf584,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-07T03:23:21.029807Z,116.00,0.0100,0.9900,yes
a9f67c1e-4542-6eaf-fbaf-d20c122e35f7,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T19:19:24.637402Z,127.00,0.0100,0.9900,yes
7b7e12dc-c7fc-6a25-d8dc-bcdab0aab8b8,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T19:19:24.637402Z,13.00,0.0100,0.9900,yes
c4810e09-a866-68cb-dc2d-1dea556d690b,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T19:18:57.729488Z,93.00,0.0100,0.9900,yes
8d987d63-8a26-4717-3dd1-6c96e1e8f7db,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T17:31:38.408066Z,93.00,0.0100,0.9900,yes
c9628289-c5aa-6623-5f6b-4f204eb9f493,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T16:15:36.298467Z,187.00,0.0100,0.9900,yes
f706377a-468c-5bde-bcf1-2e66e6691c6f,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T03:33:37.415923Z,23.00,0.0300,0.9700,no
3c5affce-61d5-63c9-3baa-1d4beda0760c,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T03:31:37.477487Z,48.00,0.0400,0.9600,no
9659b0b5-a1f6-737a-fd0a-3fc4312dac99,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T03:10:19.162313Z,62.00,0.5100,0.4900,no
5ea0498a-41c0-7d92-efbc-11b2a6939fc7,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T03:10:19.162313Z,200.00,0.5000,0.5000,no
5f73c464-19b2-4732-7532-ec9c2a47c14f,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T02:20:57.148065Z,105.00,0.1900,0.8100,yes
c151ecec-75ad-7e7e-3c6c-54a91c606c81,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T02:20:07.756854Z,34.00,0.1400,0.8600,no
3a29fbc3-ed79-4252-fb3f-1fa51eadb3d5,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T01:32:23.655071Z,11.00,0.1400,0.8600,no
baa173ec-b466-60b4-8ce6-25f95851d819,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T01:26:46.973537Z,100.00,0.1900,0.8100,yes
c54839e5-a1ac-65bb-e05f-beb46b398148,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-02T00:27:56.326884Z,200.00,0.1900,0.8100,yes
e085ab65-1dce-5e4d-de34-af55056ff2c0,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-01T23:54:29.64465Z,500.00,0.1300,0.8700,yes
a9b066d6-bf9a-5d64-e25c-f627de32ad9f,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-01T23:54:29.64465Z,19.00,0.6300,0.3700,yes
2c0747f0-0ada-5153-db59-442bf9ed0988,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-01T23:54:29.64465Z,1.00,0.1500,0.8500,yes
b3077ab9-fbe6-5462-5846-d061c7ce9afb,KXMOVCOSTARICAPRESR1-26FEB01-P37,2026-02-01T21:06:36.485003Z,1.00,0.0800,0.9200,no
