trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
520a7076-a49f-72fa-dde5-70f58f448e3c,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-20T18:55:58.240292Z,1.00,0.0100,0.9900,yes
acb0d396-0507-5c60-616f-1d9c83deb174,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-17T12:46:34.146397Z,12.00,0.0900,0.9100,yes
77452b7f-51d2-4e91-49a1-3941f35b2a4c,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-16T21:50:15.877029Z,32.00,0.0100,0.9900,yes
420802ea-8538-4457-5839-bf314f530cb9,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-16T21:50:15.877029Z,10.00,0.0100,0.9900,yes
bc6a1c37-b101-465c-ad92-d787701a8b2a,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T23:37:18.29904Z,200.00,0.0100,0.9900,yes
9c422cd7-2ef5-4466-9986-573203757c52,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T23:37:18.29904Z,200.00,0.0100,0.9900,yes
7b9c99b2-e49a-4285-91d5-7b8a6b15d333,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T23:37:18.29904Z,97.00,0.0200,0.9800,yes
43b13851-e65f-4871-86f1-f2851468b44d,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T23:37:18.29904Z,100.00,0.0100,0.9900,yes
1f18cb4d-058f-48aa-b6ac-21cd164586a9,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T23:37:18.29904Z,40.00,0.0100,0.9900,yes
11871044-c0b0-4a83-a3ee-fcfc2717b9d7,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T23:37:18.29904Z,200.00,0.0100,0.9900,yes
202fd61c-cc2f-6542-5c08-7849aaa6312d,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T20:31:42.331762Z,31.00,0.0300,0.9700,yes
b17c56d1-b9eb-7542-9388-90488a3a8e0d,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T19:13:17.054843Z,10.00,0.0300,0.9700,yes
6da42b2d-a0c3-61c6-7746-f6b93dbd86dc,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T14:59:44.089144Z,37.00,0.0300,0.9700,yes
35c4243d-5547-6376-45bf-babbd7d69245,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T14:59:44.089144Z,19.00,0.0300,0.9700,yes
03bfa0f8-e06b-63e6-4ef6-3803ceb5459b,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-15T14:59:44.089144Z,100.00,0.0300,0.9700,yes
c79da829-0e37-7002-1302-d089a4829d48,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-11T05:06:22.614658Z,63.00,0.0400,0.9600,yes
45edda28-906d-7c30-17cd-3d473b72b52d,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-11T05:06:22.614658Z,49.00,0.0400,0.9600,yes
9cc1a0cf-c5b1-54b0-11a0-eafbf96b1239,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-09T19:25:19.191355Z,51.00,0.0400,0.9600,yes
6d949d22-621c-66c0-8c0f-524f053f6521,KXNEXTNFLCOACH-ARI27-KSTE,2026-01-08T21:35:38.463704Z,18.00,0.0500,0.9500,yes
