trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
fe7ee5a1-80d9-45c5-e0d1-8c09a52bfd12,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T16:28:32.444509Z,16.00,0.0100,0.9900,no
a0c0c94c-73d1-7001-9c0d-7326146ccdfe,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T16:27:05.97608Z,4.00,0.0100,0.9900,no
3afa1da2-db39-4a45-1f9f-8e28e68acc16,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T16:22:58.351939Z,11.00,0.0100,0.9900,no
459c3eea-785d-73e9-8b62-ca8c8b643382,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T16:12:23.258749Z,34.00,0.0100,0.9900,no
f4be300e-7fe1-5c1d-4d7f-d61513072e62,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T15:55:57.914112Z,18.00,0.0100,0.9900,no
04d6e90d-a801-5221-24c9-7eb1f7493aaa,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T15:55:32.766262Z,46.00,0.0100,0.9900,no
c4b7ea92-3259-5569-c1b8-117207cb4ed6,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T15:53:35.881574Z,18.00,0.0100,0.9900,no
3bcea408-46a5-4011-970b-f34f1b59c64e,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T15:52:51.215969Z,37.00,0.0100,0.9900,no
baf5cf4b-83c1-44f9-f0a4-082063be002e,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T15:47:21.400532Z,14.00,0.0100,0.9900,no
032cd616-e975-7c69-74ce-04494088e1ce,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T15:47:20.424129Z,6.00,0.0100,0.9900,no
0474eeab-ba45-6b41-acaf-83c6dcea4fc2,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T15:41:58.284199Z,5.00,0.0100,0.9900,no
04f61bdf-57f5-6035-02f6-e47948ffd562,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T14:12:12.15926Z,12.00,0.0100,0.9900,no
95934d18-5b16-4b03-97c2-d5da8836a7b4,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T14:11:22.019698Z,5.00,0.0200,0.9800,no
ebe77207-d26c-52b6-0ae1-41eb23b37e05,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T13:49:03.773243Z,2.00,0.0200,0.9800,no
935654b3-b069-7a79-6a79-3e4472d5336e,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T11:49:48.384582Z,61.00,0.0100,0.9900,no
3b7b6c32-aa31-5519-fd4c-a257cef9b0a6,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T11:21:12.529728Z,25.00,0.0100,0.9900,no
d2fcecf4-1ebd-617b-8335-729f4deb34cf,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T11:21:09.810181Z,5.00,0.0200,0.9800,no
5611d3a0-8204-424f-67a6-604a31af0656,KXNEXTTEAMNFL-26MWILLIS-DET,2026-03-09T07:20:03.879982Z,10.00,0.0200,0.9800,no
