trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
806aef19-ad1f-6ac0-84bc-f56c69d694fe,KXNLDFOURTH-25OCT29-4-VVD,2025-10-29T20:00:12.031471Z,2.00,0.3400,0.6600,no
36a27a38-b2bc-702d-0d2a-27cde31adaf0,KXNLDFOURTH-25OCT29-4-VVD,2025-10-29T18:36:30.048626Z,50.00,0.3500,0.6500,no
0ccbfe4b-ea49-5f77-c3fe-dc45a9641e4f,KXNLDFOURTH-25OCT29-4-VVD,2025-10-29T14:29:49.457983Z,2.00,0.4000,0.6000,yes
0f851135-a42a-55af-f9aa-0b0dfc9e5966,KXNLDFOURTH-25OCT29-4-VVD,2025-10-29T12:04:23.328988Z,17.00,0.3400,0.6600,no
75c0b7f1-5126-436f-0b39-d2d1ef99cbfb,KXNLDFOURTH-25OCT29-4-VVD,2025-10-29T11:09:12.430465Z,26.00,0.3300,0.6700,no
87fd86ec-8559-484d-010f-fd9160a7c800,KXNLDFOURTH-25OCT29-4-VVD,2025-10-29T05:52:23.924727Z,43.00,0.3300,0.6700,no
4081be4b-5585-5e9a-f449-4d2928f17e83,KXNLDFOURTH-25OCT29-4-VVD,2025-10-29T01:57:27.380836Z,98.00,0.3400,0.6600,no
c7f56364-899e-7083-5cbd-5ffd9dc89424,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T23:26:33.951745Z,17.00,0.3500,0.6500,no
06e2988b-17d2-5c8c-e256-8bf2c1a9c8de,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T23:17:26.931231Z,99.00,0.3500,0.6500,no
ec9accd5-a672-56b3-8867-aac4ca404c46,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T22:26:34.173957Z,48.00,0.3600,0.6400,no
9137bf3b-dc4a-7e5b-133d-caf1012091ae,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T21:14:05.733854Z,26.00,0.3600,0.6400,no
0ba595df-a0c4-74b3-18b7-aeb9d4d2d3a2,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T21:12:30.465572Z,24.00,0.3600,0.6400,no
3a9741d1-ca27-6476-1f8b-aecadadf845e,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T19:57:03.381289Z,73.00,0.3700,0.6300,no
a402b187-aadd-6b62-d818-56ff6f6bf1fb,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T19:56:56.052381Z,26.00,0.3600,0.6400,no
3e3a90a0-9705-7351-7662-ff677dda6c67,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T19:47:26.527634Z,24.00,0.3800,0.6200,no
5f9bc897-6a1a-5b6d-266f-e5747e037291,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T19:00:20.918155Z,8.00,0.3300,0.6700,no
c7d13239-480f-5c97-5a25-1c5dc7e844a9,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T18:58:07.212725Z,55.00,0.3400,0.6600,no
9bf826b0-6779-5aca-163c-a163bdbade79,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T18:57:49.92558Z,14.00,0.3400,0.6600,no
70e92f7c-d9b6-6afb-23b8-f316fe9af70f,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T18:29:44.754961Z,15.00,0.3000,0.7000,yes
30f7da12-8627-4bc1-92d1-8176af355590,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T18:04:03.455279Z,37.00,0.2600,0.7400,yes
a8c1d90a-09d2-71f0-1705-014ed531e864,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T17:13:08.15788Z,25.00,0.2500,0.7500,yes
8b975d9b-e56b-6593-da04-64c29860f7d3,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T17:09:18.049306Z,35.00,0.2400,0.7600,yes
491ec3ab-8542-600f-1fff-dfe9020c635e,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T16:17:35.42735Z,31.00,0.2200,0.7800,yes
3f8a8488-8052-6601-5667-6204f32e6103,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T16:13:16.487391Z,9.00,0.2000,0.8000,yes
3c059aca-2573-7d5b-0869-90e24bce7c1e,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T15:59:53.05499Z,73.00,0.2000,0.8000,yes
272cb92e-05fb-57cf-cb3b-7ccb2fe972f6,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T15:59:45.46729Z,25.00,0.2000,0.8000,yes
b5ef36f3-9c41-4ba4-b04d-e20e1c979150,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T15:59:42.601183Z,75.00,0.1900,0.8100,yes
a95c5149-77b5-478f-c98b-5bbc72f0b565,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T15:26:44.816779Z,10.00,0.2600,0.7400,no
8acb4cc9-41e5-5b7f-e731-f924e2aac77d,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T10:45:18.262826Z,2.00,0.2600,0.7400,no
832580fa-a520-756a-267c-940c2d616423,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T08:41:04.396606Z,20.00,0.2600,0.7400,no
cf06b504-be37-6143-7d73-78dca0244aaf,KXNLDFOURTH-25OCT29-4-VVD,2025-10-28T00:06:03.822692Z,29.00,0.2500,0.7500,no
6995ae28-a159-53d8-dbaa-239493ba9d8f,KXNLDFOURTH-25OCT29-4-VVD,2025-10-27T06:24:37.496746Z,12.00,0.3900,0.6100,yes
b4555688-911b-48df-b281-5d10f8ae9ff1,KXNLDFOURTH-25OCT29-4-VVD,2025-10-26T07:52:58.883604Z,16.00,0.3200,0.6800,no
d7e80b55-5d79-7537-9db4-5e7fdc243afa,KXNLDFOURTH-25OCT29-4-VVD,2025-10-26T07:40:05.72375Z,11.00,0.3300,0.6700,no
8f558713-f627-4cb1-d75e-464e1199ac7a,KXNLDFOURTH-25OCT29-4-VVD,2025-10-26T02:29:11.318529Z,8.00,0.3400,0.6600,no
21f848e3-3113-6179-47ee-96361020d912,KXNLDFOURTH-25OCT29-4-VVD,2025-10-25T23:32:32.40603Z,5.00,0.3400,0.6600,no
b3136fb8-b38a-46a9-563f-c38931b760e7,KXNLDFOURTH-25OCT29-4-VVD,2025-10-25T23:01:40.233498Z,26.00,0.3400,0.6600,no
ba1c4f88-5102-7634-a38f-54ce72440a5d,KXNLDFOURTH-25OCT29-4-VVD,2025-10-25T16:59:52.027369Z,4.00,0.3500,0.6500,no
837f33d9-ac8d-7bd1-8049-14717be22b9f,KXNLDFOURTH-25OCT29-4-VVD,2025-10-25T16:59:52.027369Z,12.00,0.3500,0.6500,no
ae0eed7b-f7fd-663d-d206-4169a1806191,KXNLDFOURTH-25OCT29-4-VVD,2025-10-18T18:57:22.63385Z,17.00,0.2900,0.7100,no
551a2a3b-2eff-525a-6b4a-7e7650d53748,KXNLDFOURTH-25OCT29-4-VVD,2025-10-18T13:41:42.368321Z,15.00,0.3100,0.6900,no
e6fb55f3-044a-529f-1a28-fb13172d3165,KXNLDFOURTH-25OCT29-4-VVD,2025-10-17T00:03:48.35448Z,7.00,0.3000,0.7000,no
e111a6fa-7b52-77ec-c4b9-36967b0bc284,KXNLDFOURTH-25OCT29-4-VVD,2025-10-17T00:03:45.808386Z,9.00,0.3000,0.7000,no
2b54460f-88f2-7a10-629b-c87a4edbacc8,KXNLDFOURTH-25OCT29-4-VVD,2025-10-17T00:03:40.041663Z,9.00,0.3000,0.7000,no
281c80cd-8da6-505c-e93a-893448c14ca8,KXNLDFOURTH-25OCT29-4-VVD,2025-10-17T00:03:38.768184Z,9.00,0.3000,0.7000,no
366c8750-06ef-78d5-3427-1e7285d3e631,KXNLDFOURTH-25OCT29-4-VVD,2025-10-16T21:26:14.617628Z,10.00,0.3000,0.7000,no
3ac4087e-4810-4e54-00d0-e7fc72335b7d,KXNLDFOURTH-25OCT29-4-VVD,2025-10-16T12:53:11.415621Z,10.00,0.3000,0.7000,no
6fea8c39-8a3d-45fa-f03f-9151d9d00978,KXNLDFOURTH-25OCT29-4-VVD,2025-10-16T04:52:22.795038Z,10.00,0.3100,0.6900,no
6bed1f9c-6f23-5993-bf2b-b913676fc9ed,KXNLDFOURTH-25OCT29-4-VVD,2025-10-15T21:36:21.698652Z,9.00,0.3000,0.7000,no
cd6f6132-d88a-55ab-11fa-2c25c2781ac2,KXNLDFOURTH-25OCT29-4-VVD,2025-10-12T14:03:54.731718Z,12.00,0.3200,0.6800,no
