trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
d3fe6c02-a4e2-508f-119b-5dd86d1c5510,KXNYCMAYOR-25NOV04-1,2025-11-14T02:45:31.139173Z,270.00,0.0100,0.9900,no
0af07b10-4d0e-45f7-42fe-00fead8b4968,KXNYCMAYOR-25NOV04-1,2025-11-14T02:37:46.227678Z,132.00,0.0100,0.9900,no
df85011e-b4be-4623-0544-ef977517e4e4,KXNYCMAYOR-25NOV04-1,2025-11-14T02:10:58.961437Z,575.00,0.0100,0.9900,no
7c6d833a-a245-79c9-56b6-cd64f47c2246,KXNYCMAYOR-25NOV04-1,2025-11-11T14:17:18.888689Z,10.00,0.0100,0.9900,no
61a3112b-45f1-462d-6834-59acea8843b6,KXNYCMAYOR-25NOV04-1,2025-11-10T22:31:30.850435Z,46.00,0.0100,0.9900,no
44930a38-0ff8-6308-efd6-0c2f6d749553,KXNYCMAYOR-25NOV04-1,2025-11-10T18:59:47.965274Z,5.00,0.0200,0.9800,no
389d1aed-f6d4-4b9f-c2bf-7515842a6992,KXNYCMAYOR-25NOV04-1,2025-11-09T04:36:19.118503Z,5.00,0.0400,0.9600,yes
c147fed4-e0d4-4a5b-a7e9-f0756754dbea,KXNYCMAYOR-25NOV04-1,2025-11-07T15:39:37.252071Z,50.00,0.0400,0.9600,yes
5cd34ec0-8220-687b-5d9b-738776ff314a,KXNYCMAYOR-25NOV04-1,2025-11-07T11:46:58.541371Z,2.00,0.0400,0.9600,yes
7a0680c6-0b90-655b-4cd4-09480006dc32,KXNYCMAYOR-25NOV04-1,2025-11-06T23:45:47.817369Z,117.00,0.0400,0.9600,yes
f0ec3820-0a6f-5898-e215-90e63d2fc140,KXNYCMAYOR-25NOV04-1,2025-11-06T18:08:58.629101Z,439.00,0.0500,0.9500,yes
e8501432-eae0-572d-e265-70828a3d77ff,KXNYCMAYOR-25NOV04-1,2025-11-06T18:08:58.629101Z,206.00,0.0300,0.9700,yes
dde5f1ac-fd40-594e-fc8b-34254fe0e2c5,KXNYCMAYOR-25NOV04-1,2025-11-06T18:08:58.629101Z,755.00,0.0400,0.9600,yes
78a54161-c952-5f69-d5b7-48e2fb756ceb,KXNYCMAYOR-25NOV04-1,2025-11-06T18:08:58.629101Z,400.00,0.0300,0.9700,yes
59868645-8432-5576-f40e-27e5bf280919,KXNYCMAYOR-25NOV04-1,2025-11-06T18:08:58.629101Z,200.00,0.0400,0.9600,yes
f84d6051-ba78-7d9d-8611-df1547c2ad93,KXNYCMAYOR-25NOV04-1,2025-11-06T08:01:47.272587Z,294.00,0.0300,0.9700,yes
e49ac54d-6cdc-71a3-8ed3-43f950dbff08,KXNYCMAYOR-25NOV04-1,2025-11-06T08:01:47.272587Z,93.00,0.0100,0.9900,yes
6c1f5401-87eb-787c-a17e-9c9d4824d406,KXNYCMAYOR-25NOV04-1,2025-11-06T08:01:47.272587Z,94.00,0.0100,0.9900,yes
26da2f8a-284f-7be0-8f10-14e5451804e6,KXNYCMAYOR-25NOV04-1,2025-11-06T08:01:47.272587Z,400.00,0.0200,0.9800,yes
a44e7d54-b3d4-5958-7dee-76238b77559d,KXNYCMAYOR-25NOV04-1,2025-11-05T15:48:51.684338Z,75.00,0.0100,0.9900,no
6e59742b-0033-5a00-7b52-f41ca7c94ba7,KXNYCMAYOR-25NOV04-1,2025-11-05T15:19:46.383197Z,23.00,0.0400,0.9600,yes
6897618e-7d7c-5008-e7ee-b3fb6fca862f,KXNYCMAYOR-25NOV04-1,2025-11-05T15:03:54.771542Z,23.00,0.0400,0.9600,yes
9934068d-50b0-7d18-c502-87c45793bacb,KXNYCMAYOR-25NOV04-1,2025-11-05T13:55:10.831648Z,46.00,0.0400,0.9600,yes
7b6a1f69-6498-4898-b72d-9e266331880b,KXNYCMAYOR-25NOV04-1,2025-11-05T09:50:59.207773Z,70.00,0.0400,0.9600,yes
f08296c9-7430-5e58-cfce-c46a33a2d637,KXNYCMAYOR-25NOV04-1,2025-11-05T09:17:52.860994Z,107.00,0.0400,0.9600,yes
de4908cd-cb34-44e4-32bb-bcff0da0b6cf,KXNYCMAYOR-25NOV04-1,2025-11-05T05:37:39.920496Z,46.00,0.0400,0.9600,yes
dd75a6e2-5ed0-52c8-a72b-9614a8e066d7,KXNYCMAYOR-25NOV04-1,2025-11-05T05:29:03.716955Z,23.00,0.0400,0.9600,yes
386bbd46-83d4-45a8-5d24-cd7321f3ec9f,KXNYCMAYOR-25NOV04-1,2025-11-05T05:17:25.877496Z,117.00,0.0400,0.9600,yes
050731d5-be0c-6ba8-1776-e207ef2db2c7,KXNYCMAYOR-25NOV04-1,2025-11-05T05:16:11.247668Z,10.00,0.0400,0.9600,yes
d7b98273-4860-5fbc-851a-3f1d23d15c23,KXNYCMAYOR-25NOV04-1,2025-11-05T05:07:35.537736Z,23.00,0.0400,0.9600,yes
8866a5cc-3a3c-5990-2cce-533e2fd9e2cb,KXNYCMAYOR-25NOV04-1,2025-11-05T04:51:23.055796Z,351.00,0.0400,0.9600,yes
4cc447d5-0f7c-6b50-727e-dd7cbe119103,KXNYCMAYOR-25NOV04-1,2025-11-05T04:14:18.548052Z,53.00,0.0400,0.9600,yes
1f25ecd9-3e0f-77c0-5b5c-18e9bafdc384,KXNYCMAYOR-25NOV04-1,2025-11-05T03:53:57.85681Z,89.00,0.0200,0.9800,no
7bf4de9d-b28c-6c26-cfe6-c1ed81a9c573,KXNYCMAYOR-25NOV04-1,2025-11-05T03:51:00.537323Z,1154.00,0.0600,0.9400,yes
71807e13-7186-6f63-e664-7d21176f1e57,KXNYCMAYOR-25NOV04-1,2025-11-05T03:51:00.537323Z,500.00,0.0500,0.9500,yes
6c431a65-cec2-7dee-ca55-92c44f352e6b,KXNYCMAYOR-25NOV04-1,2025-11-05T03:49:58.4501Z,21.00,0.0300,0.9700,no
e30653cb-6139-6cd2-ce9e-8171bdc673a3,KXNYCMAYOR-25NOV04-1,2025-11-05T03:49:42.678747Z,137.00,0.2200,0.7800,yes
d97aa3f2-63ad-678f-f498-d3fadbd09f1c,KXNYCMAYOR-25NOV04-1,2025-11-05T03:49:42.678747Z,50.00,0.0200,0.9800,yes
c91cd257-65cb-64f1-e7bd-fcb9854cff3b,KXNYCMAYOR-25NOV04-1,2025-11-05T03:49:42.678747Z,15.00,0.1200,0.8800,yes
a77432d3-c6c9-609e-c5e9-f8e1df4c8136,KXNYCMAYOR-25NOV04-1,2025-11-05T03:49:42.678747Z,2128.00,0.0500,0.9500,yes
92e7a9ee-6b99-6d95-c1a5-f5fee88c6af8,KXNYCMAYOR-25NOV04-1,2025-11-05T03:49:42.678747Z,400.00,0.0600,0.9400,yes
dd6d8002-4db7-6f97-3d33-90ef10da5940,KXNYCMAYOR-25NOV04-1,2025-11-05T03:35:47.008084Z,225.00,0.0100,0.9900,no
80820584-3928-612b-39f0-b354f7c7d60a,KXNYCMAYOR-25NOV04-1,2025-11-05T03:35:47.008084Z,519.00,0.0100,0.9900,no
9ebee094-a263-6a2a-1c5e-a7fe4b6fdd99,KXNYCMAYOR-25NOV04-1,2025-11-05T03:34:39.100573Z,1157.00,0.0800,0.9200,yes
738eff84-d5a1-6b99-3db3-2cd808f08f48,KXNYCMAYOR-25NOV04-1,2025-11-05T03:34:39.100573Z,18.00,0.0900,0.9100,yes
f75478a3-08c2-738c-94fc-d53ac8781cfb,KXNYCMAYOR-25NOV04-1,2025-11-05T03:34:25.145423Z,50.00,0.0200,0.9800,no
17e7544e-0ddc-6ab3-6ddc-5852381f23f4,KXNYCMAYOR-25NOV04-1,2025-11-05T03:21:10.496551Z,157.00,0.0400,0.9600,no
190045c7-34c7-6ea1-6303-001fd37e2c8e,KXNYCMAYOR-25NOV04-1,2025-11-05T03:20:31.367699Z,56.00,0.0500,0.9500,no
e19b3506-2213-460b-1b33-2653a542cae0,KXNYCMAYOR-25NOV04-1,2025-11-05T03:14:24.609225Z,158.00,0.2900,0.7100,yes
d620e0d7-ef32-4173-0ea3-1af470cb9c56,KXNYCMAYOR-25NOV04-1,2025-11-05T03:14:24.609225Z,56.00,0.1400,0.8600,yes
be7d1e44-fd95-4437-2f7b-a05ebe1d9fa4,KXNYCMAYOR-25NOV04-1,2025-11-05T03:14:24.609225Z,400.00,0.0900,0.9100,yes
4734bfc5-89cd-45d3-3cbc-a2d47e48bb7f,KXNYCMAYOR-25NOV04-1,2025-11-05T03:14:24.609225Z,400.00,0.2500,0.7500,yes
e893b2d9-d6cc-48c7-f2a1-b1f3cd5c9807,KXNYCMAYOR-25NOV04-1,2025-11-05T03:10:06.504298Z,93.00,0.0200,0.9800,no
62aeb34a-5a0a-567f-0717-213493eadf44,KXNYCMAYOR-25NOV04-1,2025-11-05T03:08:49.919286Z,400.00,0.0500,0.9500,no
e3dd4019-8689-6a28-9b97-f5f33d2be943,KXNYCMAYOR-25NOV04-1,2025-11-05T03:08:30.228371Z,75.00,0.0900,0.9100,yes
3b3e4529-36ee-6d13-b4ef-a249a8149106,KXNYCMAYOR-25NOV04-1,2025-11-05T03:08:30.228371Z,18.00,0.1400,0.8600,yes
8a27832f-cd91-6b0f-78c9-deb94d1a41f6,KXNYCMAYOR-25NOV04-1,2025-11-05T03:07:58.97465Z,52.00,0.0500,0.9500,no
7cd271c9-6a3c-6bf0-5061-da3fb12895a6,KXNYCMAYOR-25NOV04-1,2025-11-05T03:07:58.97465Z,15.00,0.0700,0.9300,no
aa7e1e67-77e6-4949-9d3f-d06fcd58098c,KXNYCMAYOR-25NOV04-1,2025-11-05T03:00:52.185945Z,145.00,0.1300,0.8700,yes
b04a3816-4526-5d79-c8f0-d5940fdee35c,KXNYCMAYOR-25NOV04-1,2025-11-05T02:59:44.35029Z,67.00,0.1300,0.8700,yes
c693798c-1d9a-4733-7089-50ee50d143f2,KXNYCMAYOR-25NOV04-1,2025-11-05T02:59:19.839915Z,26.00,0.1400,0.8600,yes
b833bd9b-0130-5b31-9a38-d0cb353eb654,KXNYCMAYOR-25NOV04-1,2025-11-05T02:55:36.962098Z,400.00,0.1000,0.9000,yes
92fff041-0159-59d0-98a3-96102ec51d5e,KXNYCMAYOR-25NOV04-1,2025-11-05T02:55:36.962098Z,100.00,0.1100,0.8900,yes
5a159c5b-bf78-5e70-8853-74c178cfca76,KXNYCMAYOR-25NOV04-1,2025-11-05T02:55:36.962098Z,100.00,0.2700,0.7300,yes
2bb4fa13-79b9-5f38-b6f3-b2fc6dc774e4,KXNYCMAYOR-25NOV04-1,2025-11-05T02:55:36.962098Z,167.00,0.2700,0.7300,yes
9526185f-835c-61db-6b4f-ffdf83db1062,KXNYCMAYOR-25NOV04-1,2025-11-05T02:52:46.375106Z,275.00,0.0500,0.9500,no
8408f3c9-12cc-71f3-3663-61ecdc57123e,KXNYCMAYOR-25NOV04-1,2025-11-05T02:49:25.814307Z,225.00,0.0500,0.9500,no
d6231581-ca4b-42d7-9850-81947a30f559,KXNYCMAYOR-25NOV04-1,2025-11-05T02:45:25.950887Z,47.00,0.0300,0.9700,no
174ba548-f859-783f-d422-98e80445fc35,KXNYCMAYOR-25NOV04-1,2025-11-05T02:44:45.345578Z,132.00,0.1400,0.8600,yes
66720bd1-a224-4f76-23ef-372ffaa4235d,KXNYCMAYOR-25NOV04-1,2025-11-05T02:28:57.043288Z,3.00,0.4900,0.5100,yes
52796a13-832c-4d56-26dc-7e2b5ddbbd0b,KXNYCMAYOR-25NOV04-1,2025-11-05T02:28:57.043288Z,26.00,0.5200,0.4800,yes
191a6ed0-5753-4e6a-0995-f53211621747,KXNYCMAYOR-25NOV04-1,2025-11-05T02:28:57.043288Z,34.00,0.5100,0.4900,yes
05e79f34-73c6-47b1-2d97-31672d6e1a8a,KXNYCMAYOR-25NOV04-1,2025-11-05T02:28:57.043288Z,30.00,0.5000,0.5000,yes
8524196a-4b22-552f-3578-e6c2ced5ccf1,KXNYCMAYOR-25NOV04-1,2025-11-05T02:27:32.323138Z,33.00,0.2000,0.8000,yes
f672a564-d748-686c-40c7-6b255738e964,KXNYCMAYOR-25NOV04-1,2025-11-05T02:27:14.270657Z,47.00,0.2000,0.8000,yes
2c7eab91-ecb8-61af-f7f7-5d4ca796be8c,KXNYCMAYOR-25NOV04-1,2025-11-05T02:26:36.700956Z,105.00,0.1800,0.8200,yes
b5215667-b67e-561f-463f-0f7ce6addf12,KXNYCMAYOR-25NOV04-1,2025-11-05T02:24:17.117464Z,55.00,0.1700,0.8300,yes
acb2069e-10e7-76a7-2516-245f339209f8,KXNYCMAYOR-25NOV04-1,2025-11-05T02:19:15.325295Z,55.00,0.1700,0.8300,yes
f733fae2-4ee2-4f74-8ede-0d037eb12ad3,KXNYCMAYOR-25NOV04-1,2025-11-05T02:12:31.329365Z,55.00,0.1700,0.8300,yes
fc68540f-547e-4049-174f-8dd9291cdc80,KXNYCMAYOR-25NOV04-1,2025-11-05T01:57:22.390257Z,22.00,0.1500,0.8500,yes
b06694fc-9221-4b83-07dd-e9594ca0f6f2,KXNYCMAYOR-25NOV04-1,2025-11-05T01:57:22.390257Z,15.00,0.1500,0.8500,yes
ec952f7a-7fdb-5586-ce24-511754e9a8ca,KXNYCMAYOR-25NOV04-1,2025-11-05T01:35:18.462304Z,5.00,0.0100,0.9900,no
e6544caa-6e1f-46c7-2f78-0b120626aa2e,KXNYCMAYOR-25NOV04-1,2025-11-05T01:05:25.850327Z,38.00,0.0900,0.9100,no
7f341088-c325-40cc-2e9b-b66b9c7a6670,KXNYCMAYOR-25NOV04-1,2025-11-05T01:05:25.850327Z,15.00,0.1000,0.9000,no
c764739f-f687-7075-8be2-e1f270e1235c,KXNYCMAYOR-25NOV04-1,2025-11-05T00:59:23.160578Z,70.00,0.1700,0.8300,yes
bee48209-e882-7ae5-8873-7582abbfadb4,KXNYCMAYOR-25NOV04-1,2025-11-05T00:59:23.160578Z,14.00,0.1600,0.8400,yes
860b0b27-ed6e-6932-4402-7f7da15f6443,KXNYCMAYOR-25NOV04-1,2025-11-05T00:04:02.788316Z,26.00,0.1800,0.8200,yes
49d2f3fd-ed18-4cae-26f9-a6a70c70bb1c,KXNYCMAYOR-25NOV04-1,2025-11-04T23:47:31.859927Z,13.00,0.0800,0.9200,no
3dce251a-5644-6b7a-c875-aee7cc6feb50,KXNYCMAYOR-25NOV04-1,2025-11-04T23:45:50.329877Z,1.00,0.0800,0.9200,no
afd26b2b-9cae-7635-f641-360e74306263,KXNYCMAYOR-25NOV04-1,2025-11-04T23:44:48.346823Z,5.00,0.1600,0.8400,yes
6175c758-7057-7dcf-f5dc-2791bcd62eb0,KXNYCMAYOR-25NOV04-1,2025-11-04T23:44:48.346823Z,29.00,0.2500,0.7500,yes
30a1ef98-0b9f-74ae-dd4f-9b2baebe1cd4,KXNYCMAYOR-25NOV04-1,2025-11-04T23:44:48.346823Z,400.00,0.1700,0.8300,yes
3ae24814-6872-6203-12ca-ec837419198a,KXNYCMAYOR-25NOV04-1,2025-11-04T23:36:47.891189Z,168.00,0.1400,0.8600,yes
434ffcd9-9194-7d02-606d-c5a7b9d5ba74,KXNYCMAYOR-25NOV04-1,2025-11-04T23:32:58.878866Z,5.00,0.0800,0.9200,no
0c52bb18-80a7-731c-c28c-f4b8ba0dd384,KXNYCMAYOR-25NOV04-1,2025-11-04T23:31:13.68981Z,141.00,0.1300,0.8700,yes
2cb95fee-ecbf-7358-8c3d-64f265f2e5a4,KXNYCMAYOR-25NOV04-1,2025-11-04T23:04:39.516694Z,7.00,0.1300,0.8700,yes
f18b0a08-54c8-7419-13b8-0a773c247222,KXNYCMAYOR-25NOV04-1,2025-11-04T20:24:04.412948Z,355.00,0.1600,0.8400,yes
73bf5807-5270-7e2f-31e7-5ffca8cd16da,KXNYCMAYOR-25NOV04-1,2025-11-04T20:24:04.412948Z,14.00,0.1500,0.8500,yes
19182a60-a4a5-7606-2a0f-337179819528,KXNYCMAYOR-25NOV04-1,2025-11-04T20:24:04.412948Z,236.00,0.1500,0.8500,yes
83c3b4c4-3b58-6522-8391-60d2695aff31,KXNYCMAYOR-25NOV04-1,2025-11-04T19:53:20.490112Z,2.00,0.1500,0.8500,yes
79e57eec-2582-68b7-82cc-d874bea91bf6,KXNYCMAYOR-25NOV04-1,2025-11-04T19:53:20.490112Z,1.00,0.1400,0.8600,yes
f0ca77ee-da70-70d2-7345-88adf79fca88,KXNYCMAYOR-25NOV04-1,2025-11-04T19:47:09.088293Z,112.00,0.0900,0.9100,no
b8d00deb-2738-614d-bdfc-c4ba356cd25e,KXNYCMAYOR-25NOV04-1,2025-11-04T19:13:21.735487Z,1.00,0.1000,0.9000,no
af19bb2e-2e7c-5b35-ac4e-83c692db7233,KXNYCMAYOR-25NOV04-1,2025-11-04T18:56:25.578686Z,6.00,0.1500,0.8500,yes
cda3c6f3-0da8-4247-25b5-568877196ca3,KXNYCMAYOR-25NOV04-1,2025-11-04T18:01:23.297709Z,139.00,0.1500,0.8500,yes
013816fc-f051-444e-387d-d347e03b912e,KXNYCMAYOR-25NOV04-1,2025-11-04T18:01:23.297709Z,19.00,0.1400,0.8600,yes
9fe2686a-c001-6d8e-db0b-ad73aa0f7612,KXNYCMAYOR-25NOV04-1,2025-11-04T17:08:09.073909Z,12.00,0.1400,0.8600,yes
12dab688-6775-663d-cc53-3520992b9bf4,KXNYCMAYOR-25NOV04-1,2025-11-04T16:47:20.709017Z,31.00,0.0900,0.9100,no
02e6f3e9-1299-7d4b-736b-02751ae546a9,KXNYCMAYOR-25NOV04-1,2025-11-04T16:45:33.692252Z,31.00,0.1500,0.8500,yes
abbff8d7-14d5-658e-3887-15447a267f51,KXNYCMAYOR-25NOV04-1,2025-11-04T15:32:19.609796Z,6.00,0.1500,0.8500,yes
38f285bd-dcc8-74ea-ecae-00fa6bad1a47,KXNYCMAYOR-25NOV04-1,2025-11-04T14:17:02.784003Z,302.00,0.1500,0.8500,yes
ad050ed5-da6c-69c6-c43a-90de9bfed36b,KXNYCMAYOR-25NOV04-1,2025-11-04T12:56:39.159601Z,1.00,0.1500,0.8500,yes
88e1b02b-b0e3-6be8-0c29-2332b1250996,KXNYCMAYOR-25NOV04-1,2025-11-04T11:46:03.096132Z,12.00,0.1500,0.8500,yes
bbe91471-3f75-4484-4040-4fe13d1341ad,KXNYCMAYOR-25NOV04-1,2025-11-04T09:00:40.35679Z,1.00,0.1400,0.8600,yes
9fdc24c1-8d06-400c-7aa7-637660d68fb9,KXNYCMAYOR-25NOV04-1,2025-11-04T09:00:40.35679Z,5.00,0.1400,0.8600,yes
0a87ae04-f420-7194-de45-c899bddaf11b,KXNYCMAYOR-25NOV04-1,2025-11-04T02:53:57.266497Z,1.00,0.0800,0.9200,no
d75b1e6d-e087-55e3-5f03-8f4e7f773343,KXNYCMAYOR-25NOV04-1,2025-11-04T02:44:30.826261Z,33.00,0.1500,0.8500,yes
9c3e6194-a1fb-5e6d-4d0f-7e0e2258fa73,KXNYCMAYOR-25NOV04-1,2025-11-04T02:44:30.826261Z,4.00,0.1400,0.8600,yes
