trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
8e34291a-e01b-7c0e-d01f-eb80eb08aa1e,KXNYGCOACH-26-BFLO,2026-01-15T07:48:55.432665Z,20.00,0.0100,0.9900,yes
b701c50d-1ef2-727f-3764-c9c755f5593c,KXNYGCOACH-26-BFLO,2026-01-14T17:43:33.598451Z,200.00,0.0100,0.9900,yes
a3803718-f6d5-74ac-17a6-8821a5b246a8,KXNYGCOACH-26-BFLO,2026-01-14T17:43:33.598451Z,52.00,0.0100,0.9900,yes
3bd833f6-bf47-7396-23ad-ab689888383e,KXNYGCOACH-26-BFLO,2026-01-14T17:43:33.598451Z,215.00,0.0100,0.9900,yes
e5a422d6-675d-42b0-7df7-527570f04ff4,KXNYGCOACH-26-BFLO,2026-01-14T05:22:09.898251Z,16.00,0.0100,0.9900,yes
abf4a538-94d0-6373-c150-0a428bb47116,KXNYGCOACH-26-BFLO,2026-01-14T02:16:43.393623Z,55.00,0.0100,0.9900,yes
87bdef9a-b859-6410-cc04-b14c4739ad6c,KXNYGCOACH-26-BFLO,2026-01-14T02:16:43.393623Z,132.00,0.0100,0.9900,yes
0981941b-ec04-543f-a7d4-1497121bffa2,KXNYGCOACH-26-BFLO,2026-01-11T15:17:39.067925Z,93.00,0.0100,0.9900,yes
ac95834c-3974-4d9f-c33c-a0713e37421a,KXNYGCOACH-26-BFLO,2026-01-11T05:00:28.921637Z,46.00,0.0100,0.9900,yes
b8b75ab7-aad4-7e97-2f45-7eef61d1d76e,KXNYGCOACH-26-BFLO,2026-01-10T07:10:46.848606Z,187.00,0.0100,0.9900,yes
bcd93df2-9268-5123-67bc-b06be74f0a9e,KXNYGCOACH-26-BFLO,2026-01-08T21:12:03.494357Z,1122.00,0.0100,0.9900,yes
8377ab79-3934-59d7-d2d2-c1cf05edfdea,KXNYGCOACH-26-BFLO,2026-01-07T21:29:13.318725Z,17.00,0.0100,0.9900,yes
2b4cc4b1-ad74-6ae7-e4df-663e739ba4e6,KXNYGCOACH-26-BFLO,2026-01-07T20:35:14.727664Z,140.00,0.0100,0.9900,yes
7307e6b6-b294-569f-f213-c1fbae97ecde,KXNYGCOACH-26-BFLO,2026-01-07T17:47:46.291924Z,140.00,0.0100,0.9900,yes
e97170c2-4dbb-5eed-2986-d4ce9319a87d,KXNYGCOACH-26-BFLO,2026-01-07T13:44:00.803993Z,83.00,0.0100,0.9900,yes
0f04b1e4-91ff-78c5-fabb-48f10625fce1,KXNYGCOACH-26-BFLO,2026-01-07T13:43:49.608181Z,17.00,0.0100,0.9900,yes
