trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
e40dab84-94c3-4eac-9be1-b1b6f4a8ef5e,KXPVVSEATS-25OCT29-AL40,2025-10-29T11:11:59.036472Z,76.00,0.0400,0.9600,no
03d221b9-d077-6e88-1dbe-60b1f98c4502,KXPVVSEATS-25OCT29-AL40,2025-10-29T06:48:42.735391Z,1.00,0.0400,0.9600,no
417d73f2-ad1b-7ed0-1d5a-76a344906cde,KXPVVSEATS-25OCT29-AL40,2025-10-29T05:32:16.755097Z,1.00,0.0400,0.9600,no
7a4b9108-eeeb-62b4-c234-7dee4bf38a0a,KXPVVSEATS-25OCT29-AL40,2025-10-29T05:31:19.791261Z,1.00,0.0400,0.9600,no
994ec0b9-f726-5f0c-7d88-864980526bb6,KXPVVSEATS-25OCT29-AL40,2025-10-29T03:38:01.141398Z,7.00,0.0500,0.9500,yes
45b5f468-8e5d-6518-2b7a-844b14bb9c5d,KXPVVSEATS-25OCT29-AL40,2025-10-29T03:17:32.59337Z,21.00,0.0400,0.9600,yes
c7bfbd0b-0d85-5378-2b36-eba31a7f83bb,KXPVVSEATS-25OCT29-AL40,2025-10-26T08:45:04.138724Z,66.00,0.0700,0.9300,yes
b749a7fd-4f80-5b26-245e-f1cc717dea51,KXPVVSEATS-25OCT29-AL40,2025-10-26T08:45:04.138724Z,16.00,0.0300,0.9700,yes
4a11492b-477f-5dfa-3d80-d577dbcceb2f,KXPVVSEATS-25OCT29-AL40,2025-10-26T08:45:04.138724Z,66.00,0.0500,0.9500,yes
17d3d144-7973-5444-3675-b13f8cced9ca,KXPVVSEATS-25OCT29-AL40,2025-10-26T08:45:04.138724Z,1.00,0.9700,0.0300,yes
