trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
e89c25c5-cf39-4160-baa3-218884443488,KXSECCOM-26DEC31-RL,2025-02-03T18:55:23.903725Z,467.00,0.0100,0.9900,yes
8ad03bf2-3c8a-407a-9d67-a5c63c855080,KXSECCOM-26DEC31-RL,2025-02-03T05:28:34.138839Z,300.00,0.0100,0.9900,yes
d462b1fc-ab94-48d1-b08d-470b4dd07b28,KXSECCOM-26DEC31-RL,2024-11-25T20:54:03.892455Z,40.00,0.0100,0.9900,yes
213788a2-65c9-40db-a18d-a774be7db26f,KXSECCOM-26DEC31-RL,2024-11-25T20:53:48.443706Z,50.00,0.0100,0.9900,yes
3f56be60-02dd-44f4-bfda-a5311ffe39e7,KXSECCOM-26DEC31-RL,2024-11-25T20:53:27.36733Z,50.00,0.0100,0.9900,yes
c46b3fee-45de-407f-976b-2f2d1be63ed7,KXSECCOM-26DEC31-RL,2024-11-25T20:53:10.810936Z,50.00,0.0100,0.9900,yes
b87bde59-4f07-4522-81da-1c122b260e53,KXSECCOM-26DEC31-RL,2024-11-25T20:52:57.14362Z,50.00,0.0100,0.9900,yes
e1ccaa07-ed02-464e-981b-152f5ab0d6d9,KXSECCOM-26DEC31-RL,2024-11-25T20:52:39.875836Z,50.00,0.0100,0.9900,yes
193a6603-4118-4ead-9eb0-2d47291767a5,KXSECCOM-26DEC31-RL,2024-11-25T20:52:13.890439Z,50.00,0.0100,0.9900,yes
1bce4e57-4b16-4a86-9913-9d8fb6aeafca,KXSECCOM-26DEC31-RL,2024-11-23T20:50:07.792581Z,465.00,0.0100,0.9900,yes
05045f32-30f7-41e5-9516-b0e60293b557,KXSECCOM-26DEC31-RL,2024-11-21T19:20:27.478385Z,93.00,0.0100,0.9900,yes
c0de9c66-7e32-4607-8853-71e4be23d49e,KXSECCOM-26DEC31-RL,2024-11-21T15:58:32.014507Z,10.00,0.0100,0.9900,yes
772a737f-6344-48f4-823c-6e139e9b1836,KXSECCOM-26DEC31-RL,2024-11-19T21:15:34.814029Z,467.00,0.0100,0.9900,yes
a86491d8-4f15-430c-a9c0-a70e4c10b85e,KXSECCOM-26DEC31-RL,2024-11-19T21:12:12.110193Z,187.00,0.0100,0.9900,yes
027b7090-5e00-4111-bb91-b29d853f2c3b,KXSECCOM-26DEC31-RL,2024-11-19T20:41:56.726993Z,1.00,0.0200,0.9800,yes
f703a0c1-c625-42b9-a4ec-a09fea063917,KXSECCOM-26DEC31-RL,2024-11-19T19:46:11.551709Z,374.00,0.0100,0.9900,yes
bb21590e-83f0-4fe1-a271-c54da85dbc68,KXSECCOM-26DEC31-RL,2024-11-19T19:44:44.056486Z,500.00,0.0100,0.9900,no
b1c2d189-46a5-4c14-9427-c67f2f3f81b7,KXSECCOM-26DEC31-RL,2024-11-19T19:44:44.056486Z,570.00,0.0100,0.9900,no
a3375009-2af0-4159-b025-ee2387f48665,KXSECCOM-26DEC31-RL,2024-11-19T19:44:44.056486Z,320.00,0.0100,0.9900,no
740d2842-84aa-4509-b9ff-1a74ec51fde0,KXSECCOM-26DEC31-RL,2024-11-19T19:44:44.056486Z,2000.00,0.0100,0.9900,no
65f98cf5-d618-4d97-801d-6597656b8230,KXSECCOM-26DEC31-RL,2024-11-19T19:44:44.056486Z,900.00,0.0100,0.9900,no
5b62d327-9f8e-42f7-a613-25be805916a0,KXSECCOM-26DEC31-RL,2024-11-19T19:44:44.056486Z,514.00,0.0100,0.9900,no
14803d9b-488c-4599-8235-b4582efcf0a6,KXSECCOM-26DEC31-RL,2024-11-19T19:44:44.056486Z,1000.00,0.0100,0.9900,no
9fa9cb04-bfe2-4f58-b04b-a99820d9ffc9,KXSECCOM-26DEC31-RL,2024-11-19T19:43:37.149464Z,4679.00,0.0200,0.9800,yes
a8287d75-112f-4e20-87bf-560f73dc8082,KXSECCOM-26DEC31-RL,2024-11-19T19:42:31.463649Z,2000.00,0.0200,0.9800,yes
ce1af836-e9b1-4a4b-9e01-8f23042267a3,KXSECCOM-26DEC31-RL,2024-11-19T19:42:11.718488Z,3333.00,0.0200,0.9800,no
25b862f3-16eb-4ef8-a28c-a7d4ef19942c,KXSECCOM-26DEC31-RL,2024-11-19T19:40:58.874141Z,3121.00,0.0300,0.9700,yes
9346c11c-5841-403a-ae63-318771dde3ff,KXSECCOM-26DEC31-RL,2024-11-19T19:40:46.931853Z,400.00,0.0300,0.9700,no
7b48b139-afa5-4355-aa0e-bab4bebc13fa,KXSECCOM-26DEC31-RL,2024-11-19T19:40:46.931853Z,300.00,0.0300,0.9700,no
b05eea7c-656f-4632-bb4c-143e2eb91771,KXSECCOM-26DEC31-RL,2024-11-19T19:39:31.176324Z,2819.00,0.0400,0.9600,no
5334cfb6-2a60-4064-a619-c496adfcf845,KXSECCOM-26DEC31-RL,2024-11-19T19:38:56.723609Z,2610.00,0.0700,0.9300,no
27b7196c-db32-422f-a618-b7cc8f910a92,KXSECCOM-26DEC31-RL,2024-11-19T19:38:28.476273Z,74.00,0.0700,0.9300,no
b74be930-b50d-4091-a915-13fb4be1e42f,KXSECCOM-26DEC31-RL,2024-11-19T19:38:16.928519Z,349.00,0.0700,0.9300,no
6083c2cf-fff3-4ee1-9807-c2ccfe7ac542,KXSECCOM-26DEC31-RL,2024-11-19T19:35:03.267733Z,300.00,0.0700,0.9300,yes
dbeecac9-df9a-456f-9785-6b8e35754fc0,KXSECCOM-26DEC31-RL,2024-11-19T19:34:31.613246Z,100.00,0.0400,0.9600,yes
24809508-9999-47b5-b9ec-260feb20014d,KXSECCOM-26DEC31-RL,2024-11-19T19:34:31.613246Z,299.00,0.0400,0.9600,yes
23bff485-85d7-4ac5-b2d3-6a21dd91c1d0,KXSECCOM-26DEC31-RL,2024-11-19T19:34:31.613246Z,115.00,0.0400,0.9600,yes
e85d655b-ee6c-409c-a9ef-dfe8e665b18e,KXSECCOM-26DEC31-RL,2024-11-19T19:32:04.978318Z,384.00,0.0100,0.9900,no
141ded57-a27c-44cc-b911-01b5e80aa952,KXSECCOM-26DEC31-RL,2024-11-19T19:32:04.978318Z,339.00,0.0200,0.9800,no
b86b01e8-f07d-4312-8a35-b60ac4a5d0dc,KXSECCOM-26DEC31-RL,2024-11-19T19:25:52.931018Z,111.00,0.0200,0.9800,no
5c58a6da-c4a4-466a-9f3b-9bf44990da6b,KXSECCOM-26DEC31-RL,2024-11-19T18:26:04.89463Z,201.00,0.0400,0.9600,yes
dcc0c20b-686b-40cc-9269-c9bd356320ba,KXSECCOM-26DEC31-RL,2024-11-19T18:25:50.162467Z,900.00,0.0300,0.9700,yes
b909979b-47bd-437a-b1c8-0c036a075cb8,KXSECCOM-26DEC31-RL,2024-11-19T18:03:42.51452Z,296.00,0.0100,0.9900,no
7d7bd984-a880-4282-aafc-30514590bef5,KXSECCOM-26DEC31-RL,2024-11-19T18:03:42.51452Z,2.00,0.0100,0.9900,no
634cb6b7-2094-472d-9997-1b9b2be431e4,KXSECCOM-26DEC31-RL,2024-11-19T17:33:33.063986Z,900.00,0.0200,0.9800,no
592660e0-4b10-41ce-ac47-08a8d33ba699,KXSECCOM-26DEC31-RL,2024-11-19T17:22:21.994124Z,100.00,0.0200,0.9800,yes
18234aa4-f764-482b-a18b-88c5f6262182,KXSECCOM-26DEC31-RL,2024-11-19T17:22:21.994124Z,445.00,0.0200,0.9800,yes
ecd211b7-ce3e-47c9-9d01-13725215d5fa,KXSECCOM-26DEC31-RL,2024-11-19T16:04:25.990295Z,49.00,0.0100,0.9900,no
be1408c0-70f2-4003-88d8-6f7a37fa2f57,KXSECCOM-26DEC31-RL,2024-11-19T16:04:25.990295Z,435.00,0.0100,0.9900,no
fd8b2dc8-8c4f-4150-a1ae-a284815100f4,KXSECCOM-26DEC31-RL,2024-11-19T15:48:41.285197Z,3418.00,0.0100,0.9900,no
c714c422-ac58-4512-909d-cc0496e885a4,KXSECCOM-26DEC31-RL,2024-11-19T15:42:36.376164Z,570.00,0.0100,0.9900,no
4119784f-9b7e-4e99-8383-b7352c717425,KXSECCOM-26DEC31-RL,2024-11-19T15:36:38.776308Z,74.00,0.0100,0.9900,no
ed5a1544-1935-4d66-9901-e084f8ed23b8,KXSECCOM-26DEC31-RL,2024-11-19T15:36:08.28009Z,6.00,0.0100,0.9900,no
f0766e94-604d-4d15-b6c5-efda29f9b4ca,KXSECCOM-26DEC31-RL,2024-11-19T15:34:43.920458Z,555.00,0.0200,0.9800,yes
bcb3c430-2093-42aa-9c95-4172fab96a78,KXSECCOM-26DEC31-RL,2024-11-19T15:30:58.713553Z,275.00,0.0100,0.9900,no
50f142fe-0bda-4228-9f26-0c960eb8802d,KXSECCOM-26DEC31-RL,2024-11-19T15:30:23.926493Z,15.00,0.0100,0.9900,no
7a4433ec-b6f8-495a-929f-60bfc794651a,KXSECCOM-26DEC31-RL,2024-11-19T15:30:12.457761Z,55.00,0.0200,0.9800,no
cd7d12d7-1503-4716-87d7-fa60f42479f3,KXSECCOM-26DEC31-RL,2024-11-19T15:29:08.029407Z,2000.00,0.0300,0.9700,no
5db495f4-17da-400f-9bd2-dfee76118bd1,KXSECCOM-26DEC31-RL,2024-11-19T15:29:08.029407Z,111.00,0.0400,0.9600,no
fa374204-f341-4f55-8bac-a419a2895db7,KXSECCOM-26DEC31-RL,2024-11-19T15:28:55.632631Z,400.00,0.0600,0.9400,no
e0247bc6-69bf-403b-931c-f3d57f507d6e,KXSECCOM-26DEC31-RL,2024-11-19T15:28:50.199582Z,196.00,0.1200,0.8800,no
ddb0a041-abb0-45ae-b036-f93943277e09,KXSECCOM-26DEC31-RL,2024-11-19T15:28:50.199582Z,493.00,0.0700,0.9300,no
d5a3a0ee-c31e-48f7-bd16-de7007119c52,KXSECCOM-26DEC31-RL,2024-11-19T15:28:50.199582Z,20.00,0.0900,0.9100,no
9734daaa-074e-4bee-973f-3c612f0d2409,KXSECCOM-26DEC31-RL,2024-11-19T15:28:50.199582Z,1558.00,0.0700,0.9300,no
