trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
810834d2-a38a-4fab-a94a-486b8890a135,KXSECENERGY-26DEC31-RP,2024-12-06T23:04:25.244416Z,250.00,0.0100,0.9900,yes
8f2d5d8a-892a-439c-80e3-d3169548c925,KXSECENERGY-26DEC31-RP,2024-11-15T15:42:37.338763Z,752.00,0.0100,0.9900,yes
20bc544b-9c50-4943-9a61-0e6585440ce5,KXSECENERGY-26DEC31-RP,2024-11-15T15:42:37.338763Z,180.00,0.0100,0.9900,yes
228288ed-a806-4804-8802-80705ad590ef,KXSECENERGY-26DEC31-RP,2024-11-15T02:57:29.411726Z,1.00,0.0100,0.9900,yes
07684015-668e-4ebf-857b-8870d2d1135d,KXSECENERGY-26DEC31-RP,2024-11-14T21:32:41.367538Z,10.00,0.0100,0.9900,yes
a9ce1f64-177f-449d-a70d-022c1c883ccd,KXSECENERGY-26DEC31-RP,2024-11-14T20:49:24.773536Z,50.00,0.0100,0.9900,yes
1fa3cda1-e765-4034-aac8-b7a9fe4acff4,KXSECENERGY-26DEC31-RP,2024-11-14T03:34:19.019587Z,15.00,0.0100,0.9900,no
67cfae8f-0fdd-4af3-8705-9e2b95bfff48,KXSECENERGY-26DEC31-RP,2024-11-12T16:16:53.680352Z,257.00,0.0400,0.9600,yes
3ed19e5f-651b-466d-b163-473516a90549,KXSECENERGY-26DEC31-RP,2024-11-11T00:25:56.607329Z,23.00,0.0400,0.9600,yes
759ec216-ecdb-47cd-9147-e6e3bd5e4dca,KXSECENERGY-26DEC31-RP,2024-11-10T06:22:39.712532Z,28.00,0.0400,0.9600,yes
35174c21-7ac5-4411-b6ac-07183b05cff5,KXSECENERGY-26DEC31-RP,2024-11-10T06:22:39.712532Z,249.00,0.0300,0.9700,yes
e5a999f0-f47a-4240-bdd5-42f5a076a88d,KXSECENERGY-26DEC31-RP,2024-11-10T06:20:46.194405Z,69.00,0.0300,0.9700,yes
9144d6b2-42a8-40d4-a827-209c87c5e81b,KXSECENERGY-26DEC31-RP,2024-11-10T06:20:46.194405Z,75.00,0.0200,0.9800,yes
712a972d-13d7-4570-b3da-229d6104af0b,KXSECENERGY-26DEC31-RP,2024-11-08T12:11:23.594394Z,15.00,0.0300,0.9700,yes
6203a71a-8ab7-4469-a187-de02f547ce82,KXSECENERGY-26DEC31-RP,2024-11-08T12:11:23.594394Z,70.00,0.0200,0.9800,yes
a8a44c26-de4d-4a6d-92ea-93d07201d093,KXSECENERGY-26DEC31-RP,2024-11-07T23:23:36.977398Z,250.00,0.0100,0.9900,no
5d225d8e-ed10-456b-b367-5078446d68b4,KXSECENERGY-26DEC31-RP,2024-11-07T17:18:20.384397Z,103.00,0.0100,0.9900,no
60260590-5ebc-4f8e-ad24-d51ebed6c29d,KXSECENERGY-26DEC31-RP,2024-11-07T17:09:23.783373Z,1.00,0.0200,0.9800,yes
da875838-adc1-4695-bf22-e14718dc25d3,KXSECENERGY-26DEC31-RP,2024-11-07T12:49:02.056515Z,144.00,0.0200,0.9800,no
fb0b013a-27ee-4add-9160-06c7acf6cd29,KXSECENERGY-26DEC31-RP,2024-11-07T12:48:37.916813Z,10.00,0.0200,0.9800,no
41378c0c-f334-4121-8ca0-391e4dcc49bb,KXSECENERGY-26DEC31-RP,2024-11-07T12:48:37.530287Z,178.00,0.0200,0.9800,no
a56b627d-42ea-46b3-a7ec-ea31f3290dcd,KXSECENERGY-26DEC31-RP,2024-11-07T12:47:44.330776Z,9.00,0.0200,0.9800,no
64645a56-6f5d-4e78-839a-0c3dad26b72d,KXSECENERGY-26DEC31-RP,2024-11-07T12:47:43.90444Z,9.00,0.0200,0.9800,no
3986e2d2-1020-48d5-bb8d-8f274d3d6e59,KXSECENERGY-26DEC31-RP,2024-11-07T12:44:20.54651Z,1.00,0.0100,0.9900,no
