trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
90dfd652-7aa6-4db3-8aa0-c7ef01c5725d,KXSECINT-26DEC31-CL,2025-01-30T13:46:51.125065Z,100.00,0.0300,0.9700,yes
ef654735-f3b9-4726-a089-fddd05811d4a,KXSECINT-26DEC31-CL,2025-01-30T13:34:13.173393Z,9.00,0.0300,0.9700,yes
4e437be7-9604-4887-b2aa-a577fd749368,KXSECINT-26DEC31-CL,2025-01-30T13:34:13.173393Z,91.00,0.0100,0.9900,yes
36354a98-4902-43e5-bbd3-07bcb5b605c3,KXSECINT-26DEC31-CL,2025-01-30T13:34:13.173393Z,50.00,0.0100,0.9900,yes
82805080-e4c8-4ec3-94dd-f51d44148aee,KXSECINT-26DEC31-CL,2025-01-14T21:17:17.196773Z,21.00,0.0100,0.9900,yes
ff53594b-b361-49aa-a35c-76e48ebec355,KXSECINT-26DEC31-CL,2024-11-15T01:49:23.304145Z,54.00,0.0100,0.9900,no
fe87747c-23ce-4af5-8258-0bd9fa48dba7,KXSECINT-26DEC31-CL,2024-11-15T01:49:23.304145Z,2.00,0.0100,0.9900,no
f925026c-7cd3-49e9-9e25-646a208c2b7a,KXSECINT-26DEC31-CL,2024-11-15T01:49:12.668746Z,1.00,0.0100,0.9900,no
4efe5532-39e4-4394-9388-527a08502173,KXSECINT-26DEC31-CL,2024-11-15T01:49:05.227219Z,12.00,0.0100,0.9900,no
f99833af-3b09-4fd0-ad88-39f872bc86c6,KXSECINT-26DEC31-CL,2024-11-13T03:27:49.884849Z,179.00,0.0400,0.9600,yes
9df42a60-bd2b-42a4-bb7a-eb3c6541e166,KXSECINT-26DEC31-CL,2024-11-13T03:27:49.884849Z,55.00,0.0400,0.9600,yes
6d12197a-2a55-4add-b211-d9ddd92cc4b4,KXSECINT-26DEC31-CL,2024-11-12T16:32:54.78356Z,50.00,0.0300,0.9700,yes
2c29e990-699f-4427-9c12-a6dc49a4ed1b,KXSECINT-26DEC31-CL,2024-11-12T13:42:03.597909Z,4.00,0.0300,0.9700,yes
e360defb-4e09-49d5-9b8c-e6caff4238bd,KXSECINT-26DEC31-CL,2024-11-10T15:27:33.797459Z,187.00,0.0500,0.9500,yes
7b8e006b-bdfd-4dcc-9e7a-5b413d66ed32,KXSECINT-26DEC31-CL,2024-11-08T23:07:13.636585Z,1.00,0.0300,0.9700,no
33e55e99-b290-46f3-a5b0-719ee2c76490,KXSECINT-26DEC31-CL,2024-11-08T22:59:08.012739Z,1.00,0.0700,0.9300,yes
5c10db82-dbc8-45c9-a210-33411f9ca53e,KXSECINT-26DEC31-CL,2024-11-08T19:03:09.808893Z,1000.00,0.0800,0.9200,yes
b0fdb831-97fc-4a8c-8cdf-dea749ac8e71,KXSECINT-26DEC31-CL,2024-11-08T00:16:42.282466Z,58.00,0.0800,0.9200,yes
7a80cf3a-32f9-40fd-9f54-ff3ff96da473,KXSECINT-26DEC31-CL,2024-11-07T21:00:17.072802Z,201.00,0.0700,0.9300,yes
d6cfdfd0-cab2-4dfa-8565-bdd51b537b4d,KXSECINT-26DEC31-CL,2024-11-07T11:30:03.107792Z,11.00,0.0800,0.9200,yes
eca114cb-b8db-484b-8d17-b1d234b3c986,KXSECINT-26DEC31-CL,2024-11-07T07:25:39.922391Z,5.00,0.0800,0.9200,yes
cfff67a8-1e3e-4fe9-85a5-6ce7082db654,KXSECINT-26DEC31-CL,2024-11-07T07:25:39.922391Z,21.00,0.0700,0.9300,yes
ac52b882-2427-4f5a-a0f2-58a0ebdc8897,KXSECINT-26DEC31-CL,2024-11-07T02:18:21.402589Z,62.00,0.0900,0.9100,yes
a93ad78c-2d83-404b-9112-2517a20cea2c,KXSECINT-26DEC31-CL,2024-11-07T02:18:21.402589Z,136.00,0.0900,0.9100,yes
5d973702-5c49-4128-81ce-d6069dd0b16b,KXSECINT-26DEC31-CL,2024-11-07T02:18:21.402589Z,10.00,0.0900,0.9100,yes
7b7b55fe-300c-4885-b058-3f0eea2049f3,KXSECINT-26DEC31-CL,2024-11-07T02:11:58.702604Z,10.00,0.0900,0.9100,yes
ecfc05cf-d375-4770-862e-e64d6932fcb7,KXSECINT-26DEC31-CL,2024-11-07T00:22:10.893128Z,10.00,0.0900,0.9100,yes
ca21648f-64db-4f94-b7d1-fe074780b3cb,KXSECINT-26DEC31-CL,2024-11-07T00:18:26.323075Z,8.00,0.0900,0.9100,yes
bc17278b-3d09-459b-b7b4-8c8e3dcedc49,KXSECINT-26DEC31-CL,2024-11-07T00:02:45.04517Z,10.00,0.0900,0.9100,yes
