trade_id,ticker,created_time,count_fp,yes_price_dollars,no_price_dollars,taker_side
1be0241a-aafd-757a-dae2-6c0a01419da4,KXVTCOACH-26-AGOL,2025-11-15T02:02:17.105237Z,8.00,0.0100,0.9900,no
cebdcd1c-bef5-50c5-f2d5-d550559c4f1f,KXVTCOACH-26-AGOL,2025-11-14T19:39:32.825322Z,562.00,0.0400,0.9600,yes
945b45e5-37b4-7378-dea4-fc5a3d823101,KXVTCOACH-26-AGOL,2025-11-14T17:42:08.152889Z,1874.00,0.0600,0.9400,no
91f75d46-8066-4d75-c47e-d6f18e517f03,KXVTCOACH-26-AGOL,2025-11-14T17:25:44.734598Z,8.00,0.7700,0.2300,yes
61d979a2-a4f9-4489-f009-245850e8f933,KXVTCOACH-26-AGOL,2025-11-14T17:25:44.734598Z,574.00,0.7800,0.2200,yes
008a96ea-f4a3-475b-c32e-7d6cefe51c06,KXVTCOACH-26-AGOL,2025-11-14T17:25:44.734598Z,5625.00,0.0900,0.9100,yes
afb71760-7320-4596-fd35-1a44dad39dd7,KXVTCOACH-26-AGOL,2025-11-14T04:27:25.578205Z,25.00,0.1100,0.8900,yes
4d2c981c-ad33-4bdb-c261-3ffe893b7562,KXVTCOACH-26-AGOL,2025-11-14T04:04:48.426516Z,8.00,0.1100,0.8900,yes
a7926590-7326-720d-e406-76573359a99b,KXVTCOACH-26-AGOL,2025-11-14T00:41:28.53253Z,37.00,0.0300,0.9700,no
b7199fa2-6d5b-64fb-b91c-f55a98995346,KXVTCOACH-26-AGOL,2025-11-11T22:45:03.735414Z,37.00,0.0100,0.9900,no
734489a9-7d63-5f99-e55f-87a47496892d,KXVTCOACH-26-AGOL,2025-11-08T18:38:54.485486Z,25.00,0.1000,0.9000,yes
876b2f15-9271-5769-e357-f468cc703ba9,KXVTCOACH-26-AGOL,2025-11-06T19:38:58.193998Z,50.00,0.0500,0.9500,yes
3b9f0ae6-ed46-4146-6696-9d49eba12bca,KXVTCOACH-26-AGOL,2025-11-03T04:32:14.919032Z,6.00,0.0500,0.9500,yes
440c913e-1f6a-6b09-1df8-09499472a8db,KXVTCOACH-26-AGOL,2025-11-02T04:37:41.696389Z,20.00,0.0500,0.9500,yes
7a2e0c9c-42d6-7265-68f8-1d163b624a8f,KXVTCOACH-26-AGOL,2025-11-02T02:27:59.849329Z,37.00,0.0500,0.9500,yes
a42c43e2-ed9d-656f-11ed-bde5b7023274,KXVTCOACH-26-AGOL,2025-10-31T18:02:24.506271Z,56.00,0.0500,0.9500,yes
6d2df51f-2d9d-7337-04a4-dc69b06d703c,KXVTCOACH-26-AGOL,2025-10-31T16:36:40.160882Z,15.00,0.0500,0.9500,yes
650e55d5-d185-6932-97d9-2d2537a120f3,KXVTCOACH-26-AGOL,2025-10-31T14:00:21.064198Z,37.00,0.0500,0.9500,yes
